pick,player,team
1,Michael Olowokandi,LAC
2,Mike Bibby,VAN
3,Raef LaFrentz,DEN
4,Antawn Jamison,TOR
5,Vince Carter,GSW
6,Robert Traylor,DAL
7,Jason Williams,SAC
8,Larry Hughes,PHI
9,Dirk Nowitzki,MIL
10,Paul Pierce,BOS
11,Bonzi Wells,DET
12,Michael Doleac,ORL
13,Keon Clark,ORL
14,Michael Dickerson,HOU
15,Matt Harpring,ORL
16,Bryce Drew,HOU
17,Rasho Nesterović,MIN
18,Mirsad Türkcan,HOU
19,Pat Garrity,MIL
20,Roshown McLeod,ATL
21,Ricky Davis,CHH
22,Brian Skinner,LAC
23,Tyronn Lue,DEN
24,Felipe López,SAS
25,Al Harrington,IND
26,Sam Jacobson,LAL
27,Vladimir Stepania,SEA
28,Corey Benjamin,CHI
29,Nazr Mohammed,UTA
30,Ansu Sesay,DAL
31,Ruben Patterson,LAL
32,Rashard Lewis,SEA
33,Jelani McCoy,SEA
34,Shammond Williams,CHI
35,Bruno Šundov,DAL
36,Jerome James,SAC
37,Casey Shaw,PHI
38,DeMarco Johnson,NYK
39,Rafer Alston,MIL
40,Korleone Young,DET
41,Cuttino Mobley,HOU
42,Miles Simon,ORL
43,Jahidi White,WAS
44,Sean Marks,NYK
45,Toby Bailey,LAL
46,Andrae Patterson,MIN
47,Tyson Wheeler,TOR
48,Ryan Stack,CLE
49,Cory Carr,ATL
50,Andrew Betts,CHH
51,Corey Brewer,MIA
52,Derrick Dial,SAS
53,Greg Buckner,DAL
54,Tremaine Fowlkes,DEN
55,Ryan Bowen,DEN
56,J.R. Henderson,VAN
57,Torraye Braggs,UTA
58,Maceo Baston,CHI
