pick,player,team
1,Glenn Robinson,MIL
2,Jason Kidd,DAL
3,Grant Hill,DET
4,Donyell Marshall,MIN
5,Juwan Howard,WSB
6,Sharone Wright,PHI
7,Lamond Murray,LAC
8,Brian Grant,SAC
9,Eric Montross,BOS
10,Eddie Jones,LAL
11,Carlos Rogers,SEA
12,Khalid Reeves,MIA
13,Jalen Rose,DEN
14,Yinka Dare,NJN
15,Eric Piatkowski,IND
16,Clifford Rozier,GSW
17,Aaron McKie,POR
18,Eric Mobley,MIL
19,Tony Dumas,DAL
20,B.J. Tyler,PHI
21,Dickey Simpkins,CHI
22,Bill Curley,SAS
23,Wesley Person,PHO
24,Monty Williams,NYK
25,Greg Minor,LAC
26,Charlie Ward,NYK
27,Brooks Thompson,ORL
28,Deon Thomas,DAL
29,Antonio Lang,PHO
30,Howard Eisley,MIN
31,Rodney Dent,ORL
32,Jim McIlvaine,WSB
33,Derrick Alston,PHI
34,Gaylon Nickerson,ATL
35,Michael Smith,SAC
36,Andrei Fetisov,BOS
37,Dontonio Wingfield,SEA
38,Darrin Hancock,CHH
39,Anthony Miller,GSW
40,Jeff Webster,MIA
41,William Njoku,IND
42,Gary Collier,CLE
43,Shawnelle Scott,POR
44,Damon Bailey,IND
45,Dwayne Morton,GSW
46,Voshon Lenard,MIL
47,Jamie Watson,UTA
48,Jevon Crudup,DET
49,Kris Bruton,CHI
50,Charles Claxton,PHO
51,Lawrence Funderburke,SAC
52,Anthony Goldwire,PHO
53,Albert Burditt,HOU
54,Željko Rebrača,SEA
