pick,player,team
1,Larry Johnson,CHH
2,Kenny Anderson,NJN
3,Billy Owens,SAC
4,Dikembe Mutombo,DEN
5,Steve Smith,MIA
6,Doug Smith,DAL
7,Luc Longley,MIN
8,Mark Macon,DEN
9,Stacey Augmon,ATL
10,Bison Dele,ORL
11,Terrell Brandon,CLE
12,Greg Anthony,NYK
13,Dale Davis,IND
14,Rich King,SEA
15,Anthony Avent,ATL
16,Chris Gatling,GSW
17,Victor Alexander,GSW
18,Kevin Brooks,MIL
19,LaBradford Smith,WSB
20,John Turner,HOU
21,Eric Murdock,UTA
22,LeRon Ellis,LAC
23,Stanley Roberts,ORL
24,Rick Fox,BOS
25,Shaun Vandiver,GSW
26,Mark Randall,CHI
27,Pete Chilcutt,SAC
28,Kevin Lynch,CHH
29,George Ackles,MIA
30,Rodney Monroe,ATL
31,Randy Brown,SAC
32,Chad Gallagher,PHO
33,Donald Hodge,DAL
34,Myron Brown,MIN
35,Mike Iuzzolino,DAL
36,Chris Corchiani,ORL
37,Elliot Perry,LAC
38,Joe Wylie,LAC
39,Jimmy Oliver,CLE
40,Doug Overton,DET
41,Sean Green,IND
42,Steve Hood,SAC
43,Lamont Strothers,GSW
44,Alvaro Teheran,PHI
45,Bobby Phills,MIL
46,Richard Dumas,PHO
47,Keith Hughes,HOU
48,Isaac Austin,UTA
49,Greg Sutton,SAS
50,Joey Wright,PHO
51,Žan Tabak,HOU
52,Anthony Jones,LAL
53,Von McDade,NJN
54,Marcus Kennedy,POR
