pick,player,team
1,Andrew Wiggins,CLE
2,Jabari Parker,MIL
3,Joel Embiid,PHI
4,Aaron Gordon,ORL
5,Dante Exum,UTA
6,Marcus Smart,BOS
7,Julius Randle,LAL
8,Nik Stauskas,SAC
9,Noah Vonleh,CHO
10,Elfrid Payton,PHI
11,Doug McDermott,DEN
12,Dario Šarić,ORL
13,Zach LaVine,MIN
14,T.J. Warren,PHO
15,Adreian Payne,ATL
16,Jusuf Nurkić,CHI
17,James Young,BOS
18,Tyler Ennis,PHO
19,Gary Harris,CHI
20,Bruno Caboclo,TOR
21,Mitch McGary,OKC
22,Jordan Adams,MEM
23,Rodney Hood,UTA
24,Shabazz Napier,CHO
25,Clint Capela,HOU
26,P.J. Hairston,MIA
27,Bogdan Bogdanović,PHO
28,C.J. Wilcox,LAC
29,Josh Huestis,OKC
30,Kyle Anderson,SAS
31,Damien Inglis,MIL
32,K.J. McDaniels,PHI
33,Joe Harris,CLE
34,Cleanthony Early,NYK
35,Jarnell Stokes,UTA
36,Johnny O'Bryant,MIL
37,DeAndre Daniels,TOR
38,Spencer Dinwiddie,DET
39,Jerami Grant,PHI
40,Glenn Robinson III,MIN
41,Nikola Jokić,DEN
42,Nick Johnson,HOU
43,Edy Tavares,ATL
44,Markel Brown,MIN
45,Dwight Powell,CHO
46,Jordan Clarkson,WAS
47,Russ Smith,PHI
48,Lamar Patterson,MIL
49,Cameron Bairstow,CHI
50,Alec Brown,PHO
51,Thanasis Antetokounmpo,NYK
52,Vasilije Micić,PHI
53,Alessandro Gentile,MIN
54,Nemanja Dangubić,PHI
55,Semaj Christon,MIA
56,Devyn Marble,DEN
57,Louis Labeyrie,IND
58,Jordan McRae,SAS
59,Xavier Thames,TOR
60,Cory Jefferson,SAS
