pick,player,team
1,Derrick Coleman,NJN
2,Gary Payton,SEA
3,Mahmoud Abdul-Rauf,DEN
4,Dennis Scott,ORL
5,Kendall Gill,CHH
6,Felton Spencer,MIN
7,Lionel Simmons,SAC
8,Bo Kimble,LAC
9,Willie Burton,MIA
10,Rumeal Robinson,ATL
11,Tyrone Hill,GSW
12,Alec Kessler,HOU
13,Loy Vaught,LAC
14,Travis Mays,SAC
15,Dave Jamerson,MIA
16,Terry Mills,MIL
17,Jerrod Mustaf,NYK
18,Duane Causwell,SAC
19,Dee Brown,BOS
20,Gerald Glass,MIN
21,Jayson Williams,PHO
22,Tate George,NJN
23,Anthony Bonner,SAC
24,Dwayne Schintzius,SAS
25,Alaa Abdelnaby,POR
26,Lance Blanks,DET
27,Elden Campbell,LAL
28,Les Jepsen,GSW
29,Toni Kukoč,CHI
30,Carl Herrera,MIA
31,Negele Knight,PHO
32,Brian Oliver,PHI
33,Walter Palmer,UTA
34,Kevin Pritchard,GSW
35,Greg Foster,WSB
36,Trevor Wilson,ATL
37,A.J. English,WSB
38,Jud Buechler,SEA
39,Steve Scheffler,CHH
40,Bimbo Coles,SAC
41,Steve Bardo,ATL
42,Marcus Liberty,DEN
43,Tony Massenburg,SAS
44,Steve Henson,MIL
45,Antonio Davis,IND
46,Kenny Williams,IND
47,Derek Strong,PHI
48,Cedric Ceballos,PHO
49,Phil Henderson,DAL
50,Miloš Babić,PHO
51,Tony Smith,LAL
52,Stefano Rusconi,CLE
53,Abdul Shamsid-Deen,SEA
54,Sean Higgins,SAS
