pick,player,team
1,LeBron James,CLE
2,Darko Miličić,DET
3,Carmelo Anthony,DEN
4,Chris Bosh,TOR
5,Dwyane Wade,MIA
6,Chris Kaman,LAC
7,Kirk Hinrich,CHI
8,T.J. Ford,MIL
9,Mike Sweetney,NYK
10,Jarvis Hayes,WAS
11,Mickaël Piétrus,GSW
12,Nick Collison,SEA
13,Marcus Banks,MEM
14,Luke Ridnour,SEA
15,Reece Gaines,ORL
16,Troy Bell,BOS
17,Žarko Čabarkapa,PHO
18,David West,NOH
19,Sasha Pavlović,UTA
20,Dahntay Jones,BOS
21,Boris Diaw,ATL
22,Zoran Planinić,NJN
23,Travis Outlaw,POR
24,Brian Cook,LAL
25,Carlos Delfino,DET
26,Ndudi Ebi,MIN
27,Kendrick Perkins,MEM
28,Leandro Barbosa,SAS
29,Josh Howard,DAL
30,Maciej Lampe,NYK
31,Jason Kapono,CLE
32,Luke Walton,LAL
33,Jerome Beasley,MIA
34,Sofoklis Schortsanitis,LAC
35,Szymon Szewczyk,MIL
36,Mario Austin,CHI
37,Travis Hansen,ATL
38,Steve Blake,WAS
39,Slavko Vraneš,NYK
40,Derrick Zimmerman,GSW
41,Willie Green,SEA
42,Zaza Pachulia,ORL
43,Keith Bogans,MIL
44,Malick Badiane,HOU
45,Matt Bonner,CHI
46,Sani Bečirovič,DEN
47,Mo Williams,UTA
48,James Lang,NOH
49,James Jones,IND
50,Paccelis Morlende,PHI
51,Kyle Korver,NJN
52,Remon van de Hare,TOR
53,Tommy Smith,CHI
54,Nedžad Sinanović,POR
55,Rick Rickert,MIN
56,Brandon Hunter,BOS
57,Xue Yuyang,DAL
58,Andreas Glyniadakis,DET
