pick,player,team
1,Anthony Bennett,CLE
2,Victor Oladipo,ORL
3,Otto Porter Jr.,WAS
4,Cody Zeller,CHA
5,Alex Len,PHO
6,Nerlens Noel,NOH
7,Ben McLemore,SAC
8,Kentavious Caldwell-Pope,DET
9,Trey Burke,MIN
10,CJ McCollum,POR
11,Michael Carter-Williams,PHI
12,Steven Adams,OKC
13,Kelly Olynyk,DAL
14,Shabazz Muhammad,UTA
15,Giannis Antetokounmpo,MIL
16,Lucas Nogueira,BOS
17,Dennis Schröder,ATL
18,Shane Larkin,ATL
19,Sergey Karasev,CLE
20,Tony Snell,CHI
21,Gorgui Dieng,UTA
22,Mason Plumlee,BRK
23,Solomon Hill,IND
24,Tim Hardaway Jr.,NYK
25,Reggie Bullock,LAC
26,Andre Roberson,MIN
27,Rudy Gobert,DEN
28,Livio Jean-Charles,SAS
29,Archie Goodwin,OKC
30,Nemanja Nedović,PHO
31,Allen Crabbe,CLE
32,Álex Abrines,OKC
33,Carrick Felix,CLE
34,Isaiah Canaan,HOU
35,Glen Rice Jr.,PHI
36,Ray McCallum,SAC
37,Tony Mitchell,DET
38,Nate Wolters,WAS
39,Jeff Withey,POR
40,Grant Jerrett,POR
41,Jamaal Franklin,MEM
42,Pierre Jackson,PHI
43,Ricky Ledo,MIL
44,Mike Muscala,DAL
45,Marko Todorović,POR
46,Erick Green,UTA
47,Raul Neto,ATL
48,Ryan Kelly,LAL
49,Erik Murphy,CHI
50,James Ennis III,ATL
51,Romero Osby,ORL
52,Lorenzo Brown,MIN
53,Colton Iverson,IND
54,Arsalan Kazemi,WAS
55,Joffrey Lauvergne,MEM
56,Peyton Siva,DET
57,Alex Oriakhi,PHO
58,Deshaun Thomas,SAS
59,Bojan Dubljević,MIN
60,Jānis Timma,MEM
