1,Patrick Ewing,NYK
2,Wayman Tisdale,IND
3,Benoit Benjamin,LAC
4,Xavier McDaniel,SEA
5,Jon Koncak,ATL
6,Joe Kleine,SAC
7,Chris Mullin,GSW
8,Detlef Schrempf,DAL
9,Charles Oakley,CLE
10,Ed Pinckney,PHO
11,Keith Lee,CHI
12,Kenny Green,WSB
13,Karl Malone,UTA
14,Alfredrick Hughes,SAS
15,Blair Rasmussen,DEN
16,Bill Wennington,DAL
17,Uwe Blab,DAL
18,Joe Dumars,DET
19,Steve Harris,HOU
20,Sam Vincent,BOS
21,Terry Catledge,PHI
22,Jerry Reynolds,MIL
23,A.C. Green,LAL
24,Terry Porter,POR
25,Mike Smrek,POR
26,Bill Martin,IND
27,Dwayne McClain,IND
28,Ken Johnson,CHI
29,Mike Brittain,SAS
30,Calvin Duncan,CLE
31,Manute Bol,WSB
32,Nick Vanos,PHO
33,Greg Stokes,PHI
34,Aubrey Sherrod,CHI
35,Tyrone Corbin,SAS
36,Yvon Joseph,NJN
37,Carey Scurry,UTA
38,Fernando Martín,NJN
39,George Montgomery,POR
40,Mark Acres,DAL
41,Lorenzo Charles,ATL
42,Bobby Lee Hurt,GSW
43,Barry Stevens,DEN
44,Voise Winters,PHI
45,Hot Rod Williams,CLE
46,Adrian Branch,CHI
47,Gerald Wilkins,NYK
48,Kenny Patterson,IND
49,Brad Wright,GSW
50,Leonard Allen,DAL
51,Charles Bradley,SAC
52,Anicet Lavodrama,LAC
53,Rolando Lamb,SEA
54,Sam Mitchell,HOU
55,Herb Johnson,CLE
56,Jerry Everett,PHO
57,Michael Payne,HOU
58,Vernon Moore,WSB
59,Sedric Toney,ATL
60,Andre Goode,DET
61,Perry Young,POR
62,Nigel Miguel,NJN
63,Harold Keeling,DAL
64,Richie Johnson,DET
65,Kenny Perry,WSB
66,Michael Adams,SAC
67,Steve Black,PHI
68,Eugene McDowell,MIL
69,Mike Brown,CHI
70,Andre Battle,BOS
71,Luster Goodwin,GSW
72,Vince Hamilton,IND
73,Fred Cofield,NYK
74,Jim Deines,LAC
75,Alex Stivrins,SEA
76,Willie Simmons,SAC
77,Arvydas Sabonis,ATL
78,Granger Hall,PHO
79,Mark Davis,CLE
80,Craig Beard,CHI
81,Richie Adams,WSB
82,Scott Roth,SAS
83,Delaney Rudd,UTA
84,John Battle,ATL
85,Joe Atkinson,POR
86,Bubba Jennings,DAL
87,Spud Webb,DET
88,Michael Brooks,HOU
89,Pete Williams,DEN
90,Derrick Gervin,PHI
91,Cozell McQueen,MIL
92,Dexter Shouse,LAL
93,Cliff Webber,BOS
94,Kelvin Johnson,IND
95,Greg Cavener,GSW
96,Mike Schlegel,NYK
97,Lou Stefanovic,SEA
98,Bob Lojewski,SAC
99,Wayne Carlander,LAC
100,Larry Hampton,ATL
101,Gunther Behnke,CLE
102,Shawn Campbell,PHO
103,Reid Gettys,CHI
104,Dean Shaffer,WSB
105,Ray Hall,UTA
106,Clayton Olivier,SAS
107,James Anderson,POR
108,Kelly Blaine,NJN
109,Tommy Davis,DAL
110,Mike Lahm,DET
111,Ivan Daniels,IND
112,Kenny Brown,DEN
113,Carl Wright,PHI
114,Ray Knight,MIL
115,Timo Saarelainen,LAL
116,Albert Butts,BOS
117,Gerald Crosby,GSW
118,Stu Primus,IND
119,Kent Lockhart,NYK
120,Charles Balentine,SAC
121,Malcolm Thomas,LAC
122,Earl Walker,SEA
123,Tony Duckett,ATL
124,Charles Rayne,PHO
125,Rickie Johnson,CLE
126,Dan Meagher,CHI
127,Matt England,WSB
128,Chris Harper,SAS
129,Jim Miller,UTA
130,George Almones,NJN
131,Curtis Moore,POR
132,Carlton Cooper,DAL
133,Vincent Giles,DET
134,Sam Potter,HOU
135,Joe Carrabino,DEN
136,Daryl Lloyd,PHI
137,Quentin Anderson,MIL
138,Tony Neal,LAL
139,Ralph Lewis,BOS
140,Jeff Acres,IND
141,Eric Boyd,GSW
142,Ken Bantum,NYK
143,Gary Maloncon,LAC
144,Michael Phelps,SEA
145,Alton Lee Gipson,SAC
146,Bob Ferry Jr.,ATL
147,Buzz Peterson,CLE
148,Georgi Glouchkov,PHO
149,Jeff Adkins,CHI
150,Keith Gray,WSB
151,Mike Wacker,UTA
152,Al Young,SAS
153,Mark Owen,POR
154,Gary McLain,NJN
155,Ed Catchings,DAL
156,Frank James,DET
157,Don Turney,IND
158,Eddie Smith,DEN
159,Jaye Andrews,PHI
160,Mario Elie,MIL
161,Keith Cieplicki,LAL
162,Chris Remley,BOS
