pick,player,team
1,Markelle Fultz,PHI
2,Lonzo Ball,LAL
3,Jayson Tatum,BOS
4,Josh Jackson,PHO
5,De'Aaron Fox,SAC
6,Jonathan Isaac,ORL
7,Lauri Markkanen,MIN
8,Frank Ntilikina,NYK
9,Dennis Smith Jr.,DAL
10,Zach Collins,SAC
11,Malik Monk,CHO
12,Luke Kennard,DET
13,Donovan Mitchell,DEN
14,Bam Adebayo,MIA
15,Justin Jackson,POR
16,Justin Patton,CHI
17,D.J. Wilson,MIL
18,T.J. Leaf,IND
19,John Collins,ATL
20,Harry Giles,POR
21,Terrance Ferguson,OKC
22,Jarrett Allen,BRK
23,OG Anunoby,TOR
24,Tyler Lydon,UTA
25,Anžejs Pasečņiks,ORL
26,Caleb Swanigan,POR
27,Kyle Kuzma,BRK
28,Tony Bradley,LAL
29,Derrick White,SAS
30,Josh Hart,UTA
31,Frank Jackson,CHO
32,Davon Reed,PHO
33,Wes Iwundu,ORL
34,Frank Mason III,SAC
35,Ivan Rabb,ORL
36,Jonah Bolden,PHI
37,Semi Ojeleye,BOS
38,Jordan Bell,CHI
39,Jawun Evans,PHI
40,Dwayne Bacon,NOP
41,Tyler Dorsey,ATL
42,Thomas Bryant,UTA
43,Isaiah Hartenstein,HOU
44,Damyean Dotson,NYK
45,Dillon Brooks,HOU
46,Sterling Brown,PHI
47,Ike Anigbogu,IND
48,Sindarius Thornwell,MIL
49,Vlatko Čančar,DEN
50,Mathias Lessort,PHI
51,Monte Morris,DEN
52,Edmond Sumner,NOP
53,Kadeem Allen,BOS
54,Alec Peters,PHO
55,Nigel Williams-Goss,UTA
56,Jabari Bird,BOS
57,Sasha Vezenkov,BRK
58,Ognjen Jaramaz,NYK
59,Jaron Blossomgame,SAS
60,Alpha Kaba,ATL
