1,Ralph Sampson,HOU
2,Steve Stipanovich,IND
3,Rodney McCray,HOU
4,Byron Scott,SDC
5,Sidney Green,CHI
6,Russell Cross,GSW
7,Thurl Bailey,UTA
8,Antoine Carr,DET
9,Dale Ellis,DAL
10,Jeff Malone,WSB
11,Derek Harper,DAL
12,Darrell Walker,NYK
13,Ennis Whatley,KCK
14,Clyde Drexler,POR
15,Howard Carter,DEN
16,Jon Sundvold,SEA
17,Leo Rautins,PHI
18,Randy Breuer,MIL
19,John Paxson,SAS
20,Roy Hinson,CLE
21,Greg Kite,BOS
22,Randy Wittman,WSB
23,Mitchell Wiggins,IND
24,Stewart Granger,CLE
25,Sidney Lowe,CHI
26,Leroy Combs,IND
27,John Garris,CLE
28,Rod Foster,PHO
29,Larry Micheaux,CHI
30,Mark West,DAL
31,Doc Rivers,ATL
32,Michael Britt,WSB
33,Dirk Minniefield,DAL
34,Guy Williams,WSB
35,Darrell Lockhart,SAS
36,Scooter McCray,SEA
37,David Russell,DEN
38,Chris McNealy,KCK
39,Granville Waiters,POR
40,Jim Thomas,IND
41,Ted Kitchel,MIL
42,Mike Davis,MIL
43,Pace Mannion,GSW
44,Horace Owens,NJN
45,Paul Williams,PHO
46,Kevin Williams,SAS
47,Ken Lyons,PHI
48,Craig Ehlo,HOU
49,Greg Jones,IND
50,Paul Thompson,CLE
51,Dereck Whittenburg,PHO
52,Winfred King,BOS
53,Michael Holton,GSW
54,Bob Hansen,UTA
55,Erich Santifer,DET
56,Larry Anderson,CLE
57,Darren Daye,WSB
58,John Pinone,ATL
59,Bruce Kuczenski,NJN
60,Steve Harriel,KCK
61,David Little,DEN
62,Tom Piotrowski,POR
63,Frank Burnell,SEA
64,Claude Riley,PHI
65,Billy Goodwin,MIL
66,Les Craft,CLE
67,Derrick Hord,CLE
68,Craig Robinson,BOS
69,Orlando Phillips,LAL
70,Dan Ruland,PHI
71,Darrell Browder,HOU
72,Terry Fair,IND
73,Dwight Jones,CLE
74,Kalpatrick Wells,PHI
75,Ron Crevier,CHI
76,Doug Arnold,UTA
77,Peter Thibeaux,GSW
78,Steve Bouchie,DET
79,Johnny Martin,DAL
80,Dan Gay,WSB
81,Harry Kelly,ATL
82,Mark Jones,NYK
83,York Gross,DEN
84,Mike Jackson,KCK
85,Tim Dunham,POR
86,Pete DeBisschop,SEA
