pick,player,team
1,Zion Williamson,NOP
2,Ja Morant,MEM
3,RJ Barrett,NYK
4,De'Andre Hunter,LAL
5,Darius Garland,CLE
6,Jarrett Culver,PHO
7,Coby White,CHI
8,Jaxson Hayes,ATL
9,Rui Hachimura,WAS
10,Cam Reddish,ATL
11,Cameron Johnson,MIN
12,P.J. Washington,CHO
13,Tyler Herro,MIA
14,Romeo Langford,BOS
15,Sekou Doumbouya,DET
16,Chuma Okeke,ORL
17,Nickeil Alexander-Walker,BRK
18,Goga Bitadze,IND
19,Luka Šamanić,SAS
20,Matisse Thybulle,BOS
21,Brandon Clarke,OKC
22,Grant Williams,BOS
23,Darius Bazley,UTA
24,Ty Jerome,PHI
25,Nassir Little,POR
26,Dylan Windler,CLE
27,Mfiondu Kabengele,BRK
28,Jordan Poole,GSW
29,Keldon Johnson,SAS
30,Kevin Porter Jr.,MIL
31,Nic Claxton,BRK
32,KZ Okpala,PHO
33,Carsen Edwards,PHI
34,Bruno Fernando,PHI
35,Didi Louzada,ATL
36,Cody Martin,CHO
37,Deividas Sirvydis,DAL
38,Daniel Gafford,CHI
39,Alen Smailagić,NOP
40,Justin James,SAC
41,Eric Paschall,GSW
42,Admiral Schofield,PHI
43,Jaylen Nowell,MIN
44,Bol Bol,MIA
45,Isaiah Roby,DET
46,Talen Horton-Tucker,ORL
47,Ignas Brazdeikis,SAC
48,Terance Mann,LAC
49,Quinndary Weatherspoon,SAS
50,Jarrell Brantley,IND
51,Tremont Waters,BOS
52,Jalen McDaniels,CHO
53,Justin Wright-Foreman,UTA
54,Marial Shayok,PHI
55,Kyle Guy,NYK
56,Jaylen Hands,LAC
57,Jordan Bone,NOP
58,Miye Oni,GSW
59,Dewan Hernandez,TOR
60,Vanja Marinković,SAC
