pick,player,team
1,Mark Aguirre,DAL
2,Isiah Thomas,DET
3,Buck Williams,NJN
4,Al Wood,ATL
5,Danny Vranes,SEA
6,Orlando Woolridge,CHI
7,Steve Johnson,KCK
8,Tom Chambers,SDC
9,Rolando Blackman,DAL
10,Albert King,NJN
11,Frank Johnson,WSB
12,Kelly Tripucka,DET
13,Danny Schayes,UTA
14,Herb Williams,IND
15,Jeff Lamp,POR
16,Darnell Valentine,POR
17,Kevin Loder,KCK
18,Ray Tolbert,NJN
19,Mike McGee,LAL
20,Larry Nance,PHO
21,Alton Lister,MIL
22,Franklin Edwards,PHI
23,Charles Bradley,BOS
24,Jay Vincent,DAL
25,Tracy Jackson,BOS
26,Brian Jackson,POR
27,Howard Wood,UTA
28,Gene Banks,SAS
29,Eddie Johnson,KCK
30,Ed Rains,SAS
31,Danny Ainge,BOS
32,Mike Olliver,CHI
33,Sam Williams,GSW
34,Ken Green,DEN
35,Charles Davis,WSB
36,Ray Blume,IND
37,Al Leslie,IND
38,Clyde Bradshaw,ATL
39,Harvey Knuckles,LAL
40,Greg Cook,NYK
41,Claude Gregory,WSB
42,Elvis Rolle,LAL
43,Elston Turner,DAL
44,Steve Lingenfelter,WSB
45,Ed Turner,HOU
46,Vernon Smith,PHI
47,Art Housey,DAL
48,Mike Ferrara,WSB
49,David Burns,NJN
50,Derek Holcomb,POR
51,Zam Fredrick,LAL
52,Rudy Macklin,ATL
53,Mark Radford,SEA
54,Jim Smith,SDC
55,Mickey Dillard,CLE
56,Carlton Neverson,GSW
57,Frank Brickowski,NYK
58,Curtis Berry,KCK
59,Russell Bowers,CLE
60,Purvis Miller,IND
61,Pétur Guðmundsson,POR
62,Sam Clancy,PHO
63,Wayne McKoy,NYK
64,Tom Baker,SAS
65,Ron Cornelius,LAL
66,Craig Dykema,PHO
67,Mark Smith,MIL
68,Ernest Graham,PHI
69,John Johnson,BOS
70,Eddie Moss,DAL
71,John May,DET
72,Ed Sherod,NJN
73,Georgie Torres,UTA
74,Ethan Martin,CLE
75,Kevin Figaro,ATL
76,Lewis Lloyd,GSW
77,Lee Raker,SDC
78,Kenny Dennard,KCK
79,Ron Davis,WSB
