pick,player,team
80,Terry Adolph,GSW
81,Larry Spriggs,HOU
82,B.B. Davis,KCK
83,Rolando Frazer,IND
84,Oliver Lee,CHI
85,Pete Verhoeven,POR
86,Alex Bradley,NYK
87,Earl Belcher,SAS
88,Kevin McKenna,LAL
89,Don Koonce,DET
90,Kris Anderson,MIL
91,Stanley Williams,BOS
92,Rynn Wright,PHI
93,Pete Budko,DAL
94,George DeVone,DET
95,Joe Cooper,NJN
96,Kenny Page,CLE
97,Mike Clark,UTA
98,Steve Krafcisin,ATL
99,Andra Griffin,SEA
100,Dennis Isbell,SDC
101,Willie Sims,DEN
102,Hank McDowell,GSW
103,Garry Witts,WSB
104,U.S. Reed,KCK
105,Hasan Houston,HOU
106,George Peterson,IND
107,Herb Andrew,POR
108,Johnny Nash,CHI
109,Jim Wright,NYK
110,Mike Rhodes,SAS
111,Craig Watts,LAL
112,Paul Heuerman,PHO
113,Kelvin Troy,MIL
114,Steve Craig,PHI
115,Glen Grunwald,BOS
116,Karl Bankowski,DAL
117,Vince Brookins,DET
118,Kevin Lynam,NJN
119,Kevin Sprewer,UTA
120,Aaron Strayhorn,CLE
121,Darryl Warwick,ATL
122,Earl Banks,SEA
123,Mike Pepper,SDC
124,Alonzo Weatherly,DEN
125,Robert Williams,WSB
126,Carter Scott,GSW
127,Fred Cowan,HOU
128,Brian Walker,KCK
129,Robert Fronk,IND
130,Roger Burkman,CHI
131,Roshern Amie,POR
132,John Blair,NYK
133,Northern Shavers,SAS
134,Kevin Singleton,LAL
135,Pete Harris,PHO
136,Jo Jo Hunter,MIL
137,Steve Waite,BOS
138,Michael Thomas,PHI
139,Danny Davis,DAL
140,Greg Nance,DET
141,Rod Roberson,NJN
142,Andre Smith,CLE
143,Mike Robinson,UTA
144,Kevin Vesey,ATL
145,Tom Sienkiewicz,SEA
146,Randy Johnson,SDC
147,Greg Manning,DEN
148,Robbie Dosty,GSW
149,Randy Martel,WSB
150,Clinton Wheeler,KCK
151,Joe Faine,HOU
152,Larry McKinney,IND
153,Julius Wayne,POR
154,Scott Williams,CHI
155,Terry Cramer,NYK
156,Mark Minderman,SAS
157,Larry Petty,LAL
158,David Williams,PHO
159,Lewis Latimore,MIL
160,John Crawford,PHI
161,Tom Seaman,BOS
162,David Kennedy,DAL
163,Joe Schoen,DET
164,Ken Webb,NJN
165,Bobby Cattage,UTA
166,Glenn Marcus,CLE
167,Gilbert Salinas,ATL
168,Todd Haynes,SDC
169,Curtis Redding,DEN
170,Mike Howard,WSB
171,Yasutaka Okayama,GSW
172,Stanley Brewer,HOU
173,Randy Smithson,KCK
174,Len Hatzenbeller,IND
175,Ben Mitchell,CHI
176,John Smith,POR
177,Brian O'Connor,NYK
178,Bob Bartholomew,SAS
179,Jay Triano,LAL
180,Steve Risley,PHO
181,Mike Brkovich,MIL
182,George Morrow,BOS
183,Frank Gilroy,PHI
184,John Hollinden,DAL
185,Eddie Baker,DET
186,Rudy Williams,NJN
187,Paul Roba,CLE
188,Ken Ollie,UTA
189,Howard Thompkins,ATL
190,Art Jones,SDC
191,Andrew Burton,DEN
192,Doug Murrey,GSW
193,Eddie Brown,WSB
194,Mike Perry,KCK
195,Scott Whitley,IND
196,Sid Williams,POR
197,Terry Martin,CHI
198,Marty Headd,NYK
199,Leonel Marquetti,SAS
200,Brian Johnson,PHO
201,Chip Rucker,MIL
202,Ron Wister,PHI
203,Greg McCray,BOS
204,Scott Bolanko,DAL
205,Melvin Maxwell,DET
206,Vic Sison,NJN
207,Joe Merten,UTA
208,Greg Boone,CLE
209,Mike Frazier,ATL
210,Tony Gwynn,SDC
211,Derrick Rowland,DEN
212,Ralton Way,WSB
213,Barry Brooks,GSW
214,Mark Wilson,KCK
215,Rodney Benson,IND
216,Kenny Easley,CHI
217,Steve Cochran,POR
218,Kevin Rogers,NYK
219,Alvin Brooks,SAS
220,Felton Sealey,PHO
221,Artie Green,MIL
222,Kenny Matthews,BOS
223,Pete Mullenberg,PHI
