pick,player,team
1,Kyrie Irving,CLE
2,Derrick Williams,MIN
3,Enes Freedom,UTA
4,Tristan Thompson,CLE
5,Jonas Valančiūnas,TOR
6,Jan Veselý,WAS
7,Bismack Biyombo,SAC
8,Brandon Knight,DET
9,Kemba Walker,CHA
10,Jimmer Fredette,MIL
11,Klay Thompson,GSW
12,Alec Burks,UTA
13,Markieff Morris,PHO
14,Marcus Morris,HOU
15,Kawhi Leonard,IND
16,Nikola Vučević,PHI
17,Iman Shumpert,NYK
18,Chris Singleton,WAS
19,Tobias Harris,CHA
20,Donatas Motiejūnas,MIN
21,Nolan Smith,POR
22,Kenneth Faried,DEN
23,Nikola Mirotić,HOU
24,Reggie Jackson,OKC
25,MarShon Brooks,BOS
26,Jordan Hamilton,DAL
27,JaJuan Johnson,NJN
28,Norris Cole,CHI
29,Cory Joseph,SAS
30,Jimmy Butler,CHI
31,Bojan Bogdanović,MIA
32,Justin Harper,CLE
33,Kyle Singler,DET
34,Shelvin Mack,WAS
35,Tyler Honeycutt,SAC
36,Jordan Williams,NJN
37,Trey Thompkins,LAC
38,Chandler Parsons,HOU
39,Jeremy Tyler,CHA
40,Jon Leuer,MIL
41,Darius Morris,LAL
42,Dāvis Bertāns,IND
43,Malcolm Lee,CHI
44,Charles Jenkins,GSW
45,Josh Harrellson,NOH
46,Andrew Goudelock,LAL
47,Travis Leslie,LAC
48,Keith Benson,ATL
49,Josh Selby,MEM
50,Lavoy Allen,PHI
51,Jon Diebler,POR
52,Vernon Macklin,DET
53,DeAndre Liggins,ORL
54,Milan Mačvan,CLE
55,E'Twaun Moore,BOS
56,Chukwudiebere Maduabum,LAL
57,Tanguy Ngombo,DAL
58,Ater Majok,LAL
59,Ádám Hanga,SAS
60,Isaiah Thomas,SAC
