pick,player,team
1,Greg Oden,POR
2,Kevin Durant,SEA
3,Al Horford,ATL
4,Mike Conley,MEM
5,Jeff Green,BOS
6,Yi Jianlian,MIL
7,Corey Brewer,MIN
8,Brandan Wright,CHA
9,Joakim Noah,CHI
10,Spencer Hawes,SAC
11,Acie Law,ATL
12,Thaddeus Young,PHI
13,Julian Wright,NOK
14,Al Thornton,LAC
15,Rodney Stuckey,DET
16,Nick Young,WAS
17,Sean Williams,NJN
18,Marco Belinelli,GSW
19,Javaris Crittenton,LAL
20,Jason Smith,MIA
21,Daequan Cook,PHI
22,Jared Dudley,CHA
23,Wilson Chandler,NYK
24,Rudy Fernández,PHO
25,Morris Almond,UTA
26,Aaron Brooks,HOU
27,Arron Afflalo,DET
28,Tiago Splitter,SAS
29,Alando Tucker,PHO
30,Petteri Koponen,PHI
31,Carl Landry,SEA
32,Gabe Pruitt,BOS
33,Marcus Williams,SAS
34,Nick Fazekas,DAL
35,Glen Davis,SEA
36,Jermareo Davidson,GSW
37,Josh McRoberts,POR
38,Kyrylo Fesenko,PHI
39,Stanko Barać,MIA
40,Sun Yue,LAL
41,Chris Richard,MIN
42,Derrick Byars,POR
43,Adam Haluska,NOK
44,Reyshawn Terry,ORL
45,Jared Jordan,LAC
46,Stéphane Lasme,GSW
47,Dominic McGuire,WAS
48,Marc Gasol,LAL
49,Aaron Gray,CHI
50,Renaldas Seibutis,DAL
51,JamesOn Curry,CHI
52,Taurean Green,POR
53,Demetris Nichols,POR
54,Brad Newley,HOU
55,Herbert Hill,UTA
56,Ramon Sessions,MIL
57,Sammy Mejia,DET
58,Georgios Printezis,SAS
59,D.J. Strawberry,PHO
60,Milovan Raković,DAL
