pick,player,team
175,Gene Ransom,GSW
176,Mike Dodd,SDC
177,Stan Eckwood,POR
178,Cedric Oliver,ATL
179,Emmett Lewis,DEN
180,Coby Leavitt,PHI
181,Gary Wilson,KCK
182,Eddie McLeod,SAS
183,Hosea Champine,PHO
184,Gary Ray Hooker,WSB
185,Paul Dawkins,UTA
186,Alton Byrd,BOS
187,Willie Polk,DET
188,Terry Peavy,CLE
189,Gordon Thomas,NYK
190,Marvin Thomas,CHI
191,Eric Fleisher,NJN
192,Kevin Heenan,GSW
193,Chris Fahrbach,MIL
194,Greg Hunter,SDC
195,Kelvin Small,POR
196,Chad Nelson,ATL
197,Cortez Collins,CHI
198,Keith McCord,PHI
199,Glenn Fine,SAS
200,Russell Saunders,KCK
201,Korky Nelson,PHO
202,Steve Martin,WSB
