pick,player,team
1,Magic Johnson,LAL
2,Dave Greenwood,CHI
3,Bill Cartwright,NYK
4,Greg Kelser,DET
5,Sidney Moncrief,MIL
6,James Bailey,SEA
7,Vinnie Johnson,SEA
8,Calvin Natt,NJN
9,Larry Demic,NYK
10,Roy Hamilton,DET
11,Cliff Robinson,NJN
12,Jim Paxson,POR
13,Dudley Bradley,IND
14,Brad Holland,LAL
15,Phil Hubbard,DET
16,Jim Spanarkel,PHI
17,Lee Johnson,HOU
18,Reggie King,KCK
19,Wiley Peck,SAS
20,Larry Knight,UTA
21,Sly Williams,NYK
22,Kyle Macy,PHO
23,Tico Brown,UTA
24,Johnny High,PHO
25,Ollie Mack,LAL
26,Bruce Flowers,CLE
27,Reggie Carter,NYK
28,Danny Salisbury,GSW
29,Tony Price,DET
30,Gary Garland,DEN
31,Edgar Jones,MIL
32,Tony Zeno,IND
33,Lawrence Butler,CHI
34,Kim Goetz,NYK
35,James Bradley,ATL
36,Clint Richardson,PHI
37,Bernard Toone,PHI
38,Larry Wilson,ATL
39,Victor King,LAL
40,Andrew Fields,POR
41,Mark Young,LAL
42,Paul Mokeski,HOU
43,Johnny Moore,SEA
44,Joe DeSantis,WSB
45,Arvid Kramer,UTA
46,Andrew Parker,WSB
47,Calvin Garrett,CHI
48,Terry Duerod,DET
49,Cedrick Hordges,CHI
50,Geoff Huston,NYK
51,John Gerdy,NJN
52,Larry Gibson,MIL
53,Wayne Kreklow,BOS
54,Cheese Johnson,GSW
55,Tom Channel,SDC
56,Mickey Fox,POR
57,Don Marsh,ATL
58,Earl Cureton,PHI
59,Ricardo Brown,HOU
60,Walter Daniels,LAL
61,Ernesto Malcolm,BOS
62,Terry Crosby,KCK
63,Sylvester Norris,SAS
64,Al Green,PHO
65,Bill Laimbeer,CLE
66,Charles Floyd,WSB
67,Greg Deane,UTA
68,Nick Galis,BOS
69,Eugene Robinson,MIL
70,Rick Swing,CLE
71,Larry Rogers,NYK
72,George Maynor,CHI
73,James Donaldson,SEA
74,Don Newman,IND
75,Ron Ripley,GSW
76,Sammy Drummer,HOU
77,Lionel Garrett,SDC
78,Darryl Robinson,POR
79,Ray White,LAL
80,Lionel Green,HOU
81,Ricky Reed,LAL
82,Jerry Sichting,GSW
83,Mike Niles,PHI
84,Al Daniel,SAS
85,John McCullough,KCK
86,Malcolm Cesare,PHO
87,Richie Allen,SEA
88,Lamont Reid,WSB
89,Perry Wolfe,UTA
90,Jimmy Allen,BOS
91,Matt Simpkins,CLE
92,Flintie Ray Williams,DET
93,Larry Washington,CHI
94,Johnny Green,NYK
95,Jim Abromaitis,NJN
96,George Lett,GSW
97,Jim Tillman,MIL
98,Billy Reid,IND
99,Greg Joyner,SDC
100,Matt White,POR
101,Tiny Pinder,ATL
102,Larry Williams,DEN
103,Carl McPipe,PHI
104,Allen Leavell,HOU
105,Curtis Watkins,KCK
106,Steve Schall,SAS
107,Mark Eaton,PHO
108,Marshall Ashford,WSB
109,Ernie Cobb,UTA
110,Marvin Delph,BOS
111,Truman Claytor,DET
112,Jon Manning,CLE
113,Phil Abney,NYK
114,Steve Smith,CHI
115,Tony Smith,NJN
116,Derrick Mayes,MIL
117,Greg Guye,IND
118,Jim Mitchem,GSW
119,Bob Bender,SDC
120,Ray Ellis,POR
121,Dwight Williams,ATL
122,Odell Ball,DEN
123,Dan Hartshorne,PHI
124,Collie Davis,HOU
125,Terry Knight,SAS
126,Bob Roma,KCK
127,Dale Shackleford,PHO
128,Garcia Hopkins,WSB
129,Paul Poe,UTA
130,Steve Castellan,BOS
131,Steve Skaggs,CLE
132,Ken Jones,DET
133,Mike Eversley,CHI
134,Marc Coleman,NYK
135,Jim Strickland,NJN
136,Dirk Ewing,IND
137,Ren Watson,GSW
138,Stan Ray,MIL
139,Jene Grey,SDC
140,Jeff Tropf,POR
141,Tim Waterman,ATL
142,Bobby Willis,PHI
143,Rich Valavicius,HOU
144,John Johnson,DEN
145,Nick Daniels,KCK
146,Tyrone Branyan,SAS
147,Ollie Matson Jr.,PHO
-,Forfeited,WSB
148,Keith McDonald,UTA
149,Glenn Sudhop,BOS
150,Rodney Lee,DET
151,Mark Haymore,CLE
152,Billy Tucker,NYK
153,Tony Warren,CHI
154,Henry Hollingsworth,NJN
155,Mario Butler,GSW
156,Larry Spicer,MIL
157,Brian Magid,IND
158,Renaldo Lawrence,SDC
159,Willie Pounds,POR
160,John Goedeke,ATL
161,Delbert Watson,HOU
162,Matt Teahan,DEN
163,Rick Raivio,PHI
164,Tony Vann,KCK
165,Charles Jones,PHO
166,Jo Jo Walters,WSB
-,Forfeited,SAS
167,Milt Huggins,UTA
168,Kevin Sinnett,BOS
169,Tim Joyce,CLE
170,Val Bracey,DET
171,James Jackson,CHI
172,Brett Wyatt,NYK
173,Ricky Free,NJN
174,Roger Lapham,MIL
