pick, player, team
1,Victor Wembanyama,SAS
2,Brandon Miller,CHO
3,Scoot Henderson,POR
4,Amen Thompson,HOU
5,Ausar Thompson,DET
6,Anthony Black,ORL
7,Bilal Coulibaly,IND
8,Jarace Walker,WAS
9,Taylor Hendricks,UTA
10,Cason Wallace,DAL
11,Jett Howard,ORL
12,Dereck Lively II,OKC
13,Gradey Dick,TOR
14,Jordan Hawkins,NOP
15,Kobe Bufkin,ATL
16,Keyonte George,UTA
17,Jalen Hood-Schifino,LAL
18,Jaime Jaquez Jr.,MIA
19,Brandin Podziemski,GSW
20,Cam Whitmore,HOU
21,Noah Clowney,BRK
22,Dariq Whitehead,BRK
23,Kris Murray,POR
24,Olivier-Maxence Prosper,SAC
25,Marcus Sasser,MEM
26,Ben Sheppard,IND
27,Nick Smith Jr.,CHO
28,Brice Sensabaugh,UTA
29,Julian Strawther,IND
30,Kobe Brown,LAC
31,James Nnaji,DET
32,Jalen Pickett,IND
33,Leonard Miller,SAS
34,Colby Jones,CHO
35,Julian Phillips,BOS
36,Andre Jackson Jr.,ORL
37,Hunter Tyson,OKC
38,Jordan Walsh,SAC
39,Mouhamed Gueye,CHO
40,Maxwell Lewis,DEN
41,Amari Bailey,CHO
42,Tristan Vukcevic,WAS
43,Rayan Rupert,POR
44,Sidy Cissoko,SAS
45,GG Jackson II,MEM
46,Seth Lundy,ATL
47,Mojave King,LAL
48,Jordan Miller,LAC
49,Emoni Bates,CLE
50,Keyontae Johnson,OKC
51,Jalen Wilson,BRK
52,Toumani Camara,PHO
53,Jaylen Clark,MIN
54,Jalen Slawson,SAC
55,Isaiah Wong,IND
56,Tarik Biberovic,MEM
57,Trayce Jackson-Davis,WAS
58,Chris Livingston,MIL
