pick,player,team
1,Kent Benson,MIL
2,Otis Birdsong,KCK
3,Marques Johnson,MIL
4,Greg Ballard,WSB
5,Walter Davis,PHO
6,Kenny Carr,LAL
7,Bernard King,NJN
8,Jack Sikma,SEA
9,Tom LaGarde,DEN
10,Ray Williams,NYK
11,Ernie Grunfeld,MIL
12,Cedric Maxwell,BOS
13,Tate Armstrong,CHI
14,Tree Rollins,ATL
15,Brad Davis,LAL
16,Rickey Green,GSW
17,Bo Ellis,WSB
18,Wesley Cox,GSW
19,Rich Laurel,POR
20,Glenn Mosley,PHI
21,Anthony Roberts,DEN
22,Norm Nixon,LAL
23,Mike Glenn,CHI
24,Larry Johnson,BUF
25,Wilson Washington,PHI
26,Glen Gondrezick,NYK
27,Glen Williams,MIL
28,Kim Anderson,POR
29,Alonzo Bradley,IND
30,Steve Sheppard,CHI
31,Eddie Owens,KCK
32,Toby Knight,NYK
33,Eddie Jordan,CLE
34,Larry Moffett,HOU
35,Mark Landsberger,CHI
36,Ben Poquette,DET
37,Jeff Wilkins,SAS
38,Ricky Love,GSW
39,Phil Walker,WSB
40,Robert Reid,HOU
41,T.R. Dunn,POR
42,Bob Elliott,PHI
43,Herm Harris,PHI
44,Essie Hollis,NOJ
45,Bill Paterno,KCK
46,James Edwards,LAL
47,Gary Yoder,MIL
48,Sam Smith,ATL
49,Eddie Johnson,ATL
50,Tony Hanson,NOJ
51,Stan Mayhew,IND
52,Joe Hassett,SEA
53,John Kuester,KCK
54,Lloyd McMillian,NYK
55,Steve Grote,CLE
56,Skip Brown,BOS
57,Steve Puidokas,WSB
58,John Irving,DET
59,Dan Henderson,SAS
60,Marlon Redmond,GSW
61,Jerry Schellenberg,WSB
62,Phil Bond,HOU
63,Ricky Brown,POR
64,Arnold Dugger,PHI
65,Robert Smith,DEN
66,Mike Bratz,PHO
67,Bob Elmore,NJN
68,Melvin Watkins,BUF
69,Lewis Brown,MIL
70,Dave Bormann,ATL
71,Greg Griffin,PHO
72,Dennis Boyd,NOJ
73,George Pendleton,IND
74,Jim Cooper,SEA
75,Larry Williams,KCK
76,Steve Hayes,NYK
77,Melvin Jones,CLE
78,Jeff Cummings,BOS
79,Mike McConalthy,CHI
80,Bruce King,DET
81,Matt Hicks,SAS
82,Roy Smith,GSW
83,David Reavis,WSB
84,Rocky Smith,HOU
85,Greg White,POR
86,Jeff Jonas,PHI
87,Leartha Scott,GSW
88,Tony Robertson,LAL
89,Gerald Cunningham,NJN
90,Mike Hanley,BUF
91,Ron Norwood,MIL
92,Bill Gordon,ATL
93,Cecil Rellford,PHO
94,Jim Grady,NOJ
95,Marvin Jackson,IND
96,Dale Haverman,SEA
97,Bob Chapman,KCK
98,Bill Terry,NYK
99,Al Smith,CLE
100,Bill Langloh,BOS
101,Nate Davis,CHI
102,Jim Kennedy,DET
103,Scott Sims,SAS
104,Ray Epps,GSW
105,Bruce Parkinson,WSB
106,Ed Thompson,HOU
107,Donn Wilber,POR
108,Teko Wynder,PHI
109,John Billips,DEN
110,John Robinson,LAL
111,Mark Crow,NJN
112,Curvan Lewis,BUF
113,Chuck Goodyear,MIL
114,Calvin Crews,ATL
115,Billy McKinney,PHO
116,Wayne Golden,NOJ
117,Tom Scheffler,IND
118,Bucky O'Brien,SEA
119,Bob Cooper,KCK
120,Jerry Craycraft,NYK
121,Ron Cox,CLE
122,Roy Pace,BOS
123,Jay Cheesman,CHI
124,Herb Nobles,DET
125,Bruce Buckley,SAS
126,Jack Phelan,GSW
127,Ernie Wansley,WSB
128,Myron Jordan,POR
129,George Gibson,PHI
130,Jim Town,DEN
131,Grover Woolard,LAL
132,Scott Conant,NJN
133,Mike Jackson,BUF
134,Ron Bostick,MIL
135,James Holliman,ATL
136,Alvin Scott,PHO
137,Lusia Harris,NOJ
138,Billy Reynolds,SEA
139,Caitlyn Jenner,KCK
140,Tom Weadock,NYK
141,Bob Riddle,CLE
142,Dave Kyle,BOS
143,Mike Smith,CHI
144,Robert Lewis,DET
145,Richard Robinson,SAS
146,Jerry Thruston,GSW
147,Calvin Brown,WSB
148,Don Smith,POR
149,Dennis Forrest,PHI
150,Willie High,DEN
151,Lars Hansen,LAL
152,Ralph Drollinger,NJN
153,Emery Sammons,BUF
154,Larry Pikes,MIL
155,Verne Thompson,ATL
156,Alvin Joseph,PHO
157,Dave Speicher,NOJ
158,Jeff Frey,SEA
159,Ken Slappy,NYK
160,Tom Cutter,CLE
161,Tom Harris,BOS
162,Rich Rhodes,CHI
163,Tim Appleton,DET
164,Jerome Gladney,SAS
165,Ricky Marsh,GSW
166,Pat McKinley,WSB
167,Harold Rhodes,POR
168,John Olive,PHI
169,Len Sanders,DEN
170,Art Allen,LAL
