pick,player,team
1,James Worthy,LAL
2,Terry Cummings,SDC
3,Dominique Wilkins,UTA
4,Bill Garnett,DAL
5,LaSalle Thompson,KCK
6,Trent Tucker,NYK
7,Quintin Dailey,CHI
8,Clark Kellogg,IND
9,Cliff Levingston,DET
10,Keith Edmonson,ATL
11,Fat Lever,POR
12,John Bagley,CLE
13,Sleepy Floyd,NJN
14,Lester Conner,GSW
15,David Thirdkill,PHO
16,Terry Teagle,HOU
17,Brook Steppe,KCK
18,Ricky Pierce,DET
19,Rob Williams,DEN
20,Paul Pressey,MIL
21,Eddie Phillips,NJN
22,Mark McNamara,PHI
23,Darren Tillis,BOS
24,Oliver Robinson,SAS
25,Bryan Warrick,WSB
26,Ricky Frazier,CHI
27,Fred Roberts,MIL
28,Dave Magley,CLE
29,Scott Hastings,NYK
30,Wallace Bryant,CHI
31,Rod Higgins,CHI
32,Richard Anderson,SDC
33,Linton Townes,POR
34,Vince Taylor,NYK
35,Derek Smith,GSW
36,J.J. Anderson,PHI
37,Audie Norris,POR
38,Wayne Sappleton,GSW
39,Kevin Magee,PHO
40,Guy Morgan,IND
41,Dwight Anderson,WSB
42,Jeff Taylor,HOU
43,Jose Slaughter,IND
44,Mike Gibson,WSB
45,Russ Schoene,PHI
46,Tony Guy,BOS
47,Michael Wilson,CLE
48,Craig Hodges,SDC
49,Steve Trumbo,UTA
50,Corny Thompson,DAL
51,Jim Johnstone,KCK
52,Dan Caldwell,NYK
53,Tyrone Adams,CHI
54,Hutch Jones,LAL
55,Jerry Eaves,UTA
56,Joe Kopicki,ATL
57,Craig Tucker,NYK
58,Mike Largey,WSB
59,Jimmy Black,NJN
60,Chris Engler,GSW
61,Charles Pittman,PHO
62,Roylin Bond,DEN
63,Chuck Nevitt,HOU
64,Willie Redden,SAS
65,John Greig,SEA
66,Phillip Lockett,POR
67,Mike Hackett,LAL
68,Dale Solomon,PHI
69,Perry Moss,BOS
70,Reggie Hannah,CLE
71,Darius Clemons,SDC
72,Mark Eaton,UTA
73,Rudy Woods,DAL
74,Mike Sanders,KCK
75,Norm Anchrum,NYK
76,Chuck Aleksinas,CHI
77,Jeff Jones,IND
78,Walker Russell,DET
79,Eric Smith,POR
80,James Griffin,NJN
81,Dino Gregory,WSB
82,Tony Brown,NJN
83,Ken Stancell,GSW
84,Alford Turner,DEN
85,Andre Gaddy,HOU
86,Rory White,PHO
87,Tony Grier,SAS
88,Ken Owens,SEA
89,Jerry Beck,MIL
90,Craig McCormick,LAL
91,Bruce Atkins,PHI
92,Greg Stewart,BOS
93,Terry White,CLE
94,Gary Carter,SDC
95,Mike McKay,UTA
96,Kenny Arnold,DAL
97,Kenny Simpson,KCK
98,Aaron Howard,NYK
99,Rubin Jackson,CHI
100,Rich DiBenedetto,IND
101,John Ebeling,DET
102,Mark Hall,ATL
103,Cherokee Rhone,POR
104,Clarence Dickerson,WSB
105,Chris Giles,NJN
106,Albert Irving,GSW
107,Jeff Schneider,HOU
108,Marvin McCrary,PHO
109,Bill Duffy,DEN
110,Clarence Swannegan,SAS
111,Rod Camp,SEA
112,Jerry Davis,WSB
113,Howard McNeill,LAL
114,Donald Mason,PHI
115,William Brown,BOS
116,Vince Reynolds,CLE
117,Eric Marbury,SDC
118,Alvin Jackson,UTA
119,Wayne Waggoner,DAL
120,Poncho Wright,KCK
121,Mike Kanieski,NYK
122,B. B. Fontenet,CHI
123,Jeff Clark,IND
124,Gary Holmes,DET
125,Leo Cunningham,POR
126,Jay Bruchak,ATL
127,Byron Williams,WSB
128,Mel Daniel,NJN
129,David Vann,GSW
130,Jake Bethany,PHO
131,Chris Brust,DEN
132,Don Wilson,HOU
133,Jaime Pena,SAS
134,Bobby Potts,SEA
135,Tony Carr,MIL
136,Lynden Rose,LAL
137,Kevin Boyle,PHI
138,John Schweitz,BOS
139,Randy Reed,CLE
140,Eddie Hughes,SDC
141,Thad Garner,UTA
142,Bob Grady,DAL
143,Perry Range,KCK
144,Phil Seymore,NYK
145,Chuck Verderber,CHI
146,Brad Leaf,IND
147,Dean Marquardt,DET
148,Horace Wyatt,ATL
149,Terry Long,POR
150,Wendell Gibson,WSB
151,Tony Anderson,NJN
152,Matt Waldron,GSW
153,Jeb Barlow,DEN
154,Mike Helms,HOU
155,Phil Ward,PHO
156,Delonte Taylor,SAS
157,Allen Rayhorn,SEA
158,Bobby Austin,MIL
159,Maurice Williams,LAL
160,Keith Hilliard,PHI
161,Phil Collins,BOS
162,Monty Knight,CLE
163,Jacques Tuz,SDC
164,Rick Campbell,UTA
165,Keith Peterson,DAL
166,Ed Nealy,KCK
167,Dan Terwilliger,NYK
168,Mike Burns,CHI
169,Donald Reese,IND
170,Brian Nyenhuis,DET
171,Dave Porter,POR
172,James Ratiff,ATL
173,Ken Luck,WSB
174,Otis Jackson,NJN
175,Mark King,GSW
176,Dan Callandrillo,HOU
177,Rick Elrod,PHO
178,Donnie Speer,DEN
179,Chris Faggi,SAS
180,Steve Burks,SEA
181,Bryan Leonard,MIL
182,Micah Blunt,LAL
183,Donald Seals,PHI
184,Ed Spriggs,BOS
185,Tony Hafley,CLE
186,John Hegwood,SDC
187,Riley Clarida,UTA
188,Ralph McPherson,DAL
189,Jack Moore,KCK
190,Merle Scott,NYK
191,Skip Dillard,CHI
192,Mike Scearce,IND
193,Kevin Smith,DET
194,Pierre Bland,ATL
195,Mark Dearborn,POR
196,James Terry,WSB
197,Gary Johnson,NJN
198,Nick Morken,GSW
199,Ken Lyles,PHO
