pick,player,team
200,Dean Sears,DEN
201,Harry O'Brien,SAS
202,Robert Tate,MIL
203,Tim Byrne,LAL
204,George Melton,PHI
205,Panagiotis Giannakis,BOS
206,Durand Walker,CLE
207,Daryl Stovall,SDC
208,Michael Edwards,UTA
209,Albert Culton,DAL
210,Robert Estes,KCK
211,John Leonard,NYK
212,Tony Britto,CHI
213,Craig Summers,IND
214,David Coulthard,DET
215,Grant Taylor,POR
216,Ronnie McAdoo,ATL
217,Donald Sinclair,WSB
218,Sean Tuohy,NJN
219,Randy Whieldon,GSW
220,Mike Phillips,DEN
221,Dale Wilkinson,PHO
222,Keith White,SAS
223,Bob Coenen,MIL
224,Randy Burkert,PHI
225,Landon Turner,BOS
