pick,player,team
1,David Robinson,SAS
2,Armen Gilliam,PHO
3,Dennis Hopson,NJN
4,Reggie Williams,LAC
5,Scottie Pippen,SEA
6,Kenny Smith,SAC
7,Kevin Johnson,CLE
8,Olden Polynice,CHI
9,Derrick McKey,SEA
10,Horace Grant,CHI
11,Reggie Miller,IND
12,Muggsy Bogues,WSB
13,Joe Wolf,LAC
14,Tellis Frank,GSW
15,José Ortiz,UTA
16,Chris Welp,PHI
17,Ronnie Murphy,POR
18,Mark Jackson,NYK
19,Ken Norman,LAC
20,Jim Farmer,DAL
21,Dallas Comegys,ATL
22,Reggie Lewis,BOS
23,Greg Anderson,SAS
24,Freddie Banks,DET
25,Ron Moore,NYK
26,Steve Alford,DAL
27,Nate Blackwell,SAS
28,Rickie Winslow,CHI
29,Lester Fonville,POR
30,Nikita Wilson,POR
31,Andre Moore,DEN
32,Bob McCann,MIL
33,Tony White,CHI
34,Brian Rowsom,IND
35,Doug Lee,HOU
36,Duane Washington,WSB
37,Derrick Dowell,WSB
38,Norris Coleman,LAC
39,Vincent Askew,PHI
40,Winston Garland,MIL
41,Kannard Johnson,CLE
42,Terrance Bailey,ATL
43,Andrew Kennedy,PHI
44,Terry Coner,ATL
45,Brad Lohaus,BOS
46,Bruce Dalrymple,PHO
47,Tim McCalister,LAC
48,Jamie Waller,NJN
49,Jerome Batiste,NYK
50,Phil Zevenbergen,SAS
51,Sven Meyer,SAC
52,Donald Royal,CLE
53,Winston Crite,PHO
54,Tom Schafer,DEN
55,Tommy Amaker,SEA
56,John Fox,CHI
57,Hansi Gnad,PHI
58,Darryl Johnson,GSW
59,Danny Pearson,WSB
60,Sean Couch,IND
61,Clarence Martin,UTA
62,Eric Riggins,PHI
63,Kevin Gamble,POR
64,J. J. Weber,MIL
65,Eric White,DET
66,Mike Richmond,DAL
67,Song Tao,ATL
68,Billy Donovan,UTA
69,Willie Glass,LAL
70,Tom Sheehey,BOS
71,Mike Morgan,NYK
72,Andrew Moten,NJN
73,Todd May,SAS
74,Joe Arlauckas,SAC
75,Chris Dudley,CLE
76,Steve Beck,PHO
77,David Boone,DEN
78,Todd Linder,SEA
79,Jack Haley,CHI
80,Carven Holcombe,CLE
81,Scott Thompson,WSB
82,Joe Niego,HOU
83,Bennie Bolton,GSW
84,Reuben Holmes,UTA
85,Brian Rahilly,PHI
86,Norwood Barber,POR
87,Darryl Bedford,MIL
88,Dave Popson,DET
89,David Johnson,DAL
90,Theofanis Christodoulou,ATL
91,Darryl Kennedy,BOS
92,Ralph Tally,LAL
93,Chad Kessler,LAC
94,James Blackmon,NJN
95,Glen Clem,NYK
96,Dennis Willliams,SAS
97,Vernon Carr,SAC
98,Carl Lott,CLE
99,Brent Counts,PHO
100,Ron Grandison,DEN
101,Michael Tait,SEA
102,Anthony Wilson,CHI
103,Mike Milling,IND
104,Andre LaFleur,HOU
105,Terry Williams,GSW
106,Patrick Fairs,WSB
107,Bart Kofoed,UTA
108,Frank Ross,PHI
109,David Moss,POR
110,Brian Vaughns,MIL
111,Gerry Wright,DET
112,Sam Hill,DAL
113,Jose Antonio Montero,ATL
114,Dave Butler,BOS
115,Kenny Travis,LAL
116,Martin Nessley,LAC
117,Howard Triche,NYK
118,Perry Bromwell,NJN
119,Ricky Brown,SAS
120,Daryl Thomas,SAC
121,Harold Jensen,CLE
122,Marcel Boyce,PHO
123,Kelvin Scarborough,DEN
124,Tom Gneiting,SEA
125,Doug Altenberger,CHI
126,Gary Graham,IND
127,Šarūnas Marčiulionis,GSW
128,Dwayne Scholten,WSB
129,Fred Jenkins,HOU
130,Art Sabb,UTA
131,Tracy Foster,PHI
132,Bernard Jackson,POR
133,Gay Elmore,MIL
134,Antoine Joubert,DET
135,Quintan Gates,DAL
136,Riccardo Morandotti,ATL
137,Tim Naegeli,BOS
138,Frank Ford,LAL
139,Henry Carr,LAC
140,Frank Booker,NJN
141,Wayne Williams,NYK
142,Raynard Davis,SAS
143,Scott Adubato,SAC
144,Michael Foster,CLE
145,Roy Singleton,PHO
146,Rowan Gomes,DEN
147,Mike Giomi,SEA
148,Ervin Leavy,CHI
149,Montel Hatcher,IND
150,Jamie Dixon,WSB
151,Clarence Grier,HOU
152,Ronnie Leggette,GSW
153,Keith Webster,UTA
154,Eric Semisch,PHI
155,Kenny Stone,POR
156,Curtis Hunter,DEN
157,Mark Gottfried,DET
158,Gerald White,DAL
159,Franjo Arapovic,ATL
160,Gerry Corcoran,BOS
161,Ron Vanderschaaf,LAL
