pick, player, team
1,Zaccharie Risacher,ATL
2,Alex Sarr,WAS
3,Reed Sheppard,HOU
4,Stephon Castle,SAS
5,Ron Holland,DET
6,Tidjane Salaün,CHO
7,Donovan Clingan,POR
8,Rob Dillingham,SAS
9,Zach Edey,MEM
10,Cody Williams,UTA
11,Matas Buzelis,CHI
12,Nikola Topić,OKC
13,Devin Carter,SAC
14,Bub Carrington,POR
15,Kel'el Ware,MIA
16,Jared McCain,PHI
17,Dalton Knecht,LAL
18,Tristan Da Silva,ORL
19,Ja'Kobe Walter,TOR
20,Jaylon Tyson,CLE
21,Yves Missi,NOP
22,DaRon Holmes,PHO
23,AJ Johnson,MIL
24,Kyshawn George,NYK
25,Pacome Dadiet,NYK
26,Dillon Jones,WAS
27,Terrence Shannon Jr.,MIN
28,Ryan Dunn,DEN
29,Isaiah Collier,UTA
30,Baylor Scheierman,BOS
31,Jonathan Mogbo,TOR
32,Kyle Filipowski,UTA
33,Tyler Smith,MIL
34,Tyler Kolek,POR
35,Johnny Furphy,SAS
36,Juan Nunez,IND
37,Bobi Klintman,MIN
38,Ajay Mitchell,NYK
39,Jaylen Wells,MEM
40,Oso Ighodaro,POR
41,Adem Bona,PHI
42,KJ Simpson,CHO
43,Nikola Djurisic,MIA
44,Pelle Larsson,HOU
45,Jamal Shead,SAC
46,Cam Christie,LAC
47,Antonio Reeves,ORL
48,Harrison Ingram,SAS
-,Forfeited,PHI
49,Tristen Newton,IND
50,Enrique Freeman,IND
51,Melvin Ajinça,NYK
52,Quinten Post,GSW
53,Cam Spencer,DET
54,Anton Watson,BOS
55,Bronny James,LAL
56,Kevin McCullar Jr.,PHO
57,Ulrich Chomche,MEM
-,Forfeited,PHO
58,Ariel Hukporti,DAL
