pick,player,team
1,Allen Iverson,PHI
2,Marcus Camby,TOR
3,Shareef Abdur-Rahim,VAN
4,Stephon Marbury,MIL
5,Ray Allen,MIN
6,Antoine Walker,BOS
7,Lorenzen Wright,LAC
8,Kerry Kittles,NJN
9,Samaki Walker,DAL
10,Erick Dampier,IND
11,Todd Fuller,GSW
12,Vitaly Potapenko,CLE
13,Kobe Bryant,CHH
14,Peja Stojaković,SAC
15,Steve Nash,PHO
16,Tony Delk,CHH
17,Jermaine O'Neal,POR
18,John Wallace,NYK
19,Walter McCarty,NYK
20,Zydrunas Ilgauskas,CLE
21,Dontae' Jones,NYK
22,Roy Rogers,VAN
23,Efthimios Rentzias,DEN
24,Derek Fisher,LAL
25,Martin Müürsepp,UTA
26,Jerome Williams,DET
27,Brian Evans,ORL
28,Priest Lauderdale,ATL
29,Travis Knight,CHI
30,Othella Harrington,HOU
31,Mark Hendrickson,PHI
32,Ryan Minor,PHI
33,Moochie Norris,MIL
34,Shawn Harvey,DAL
35,Joseph Blair,SEA
36,Doron Sheffer,LAC
37,Jeff McInnis,DEN
38,Steve Hamer,BOS
39,Russ Millard,PHO
40,Marcus Mann,GSW
41,Jason Sasser,SAC
42,Randy Livingston,HOU
43,Ben Davis,PHO
44,Malik Rose,CHH
45,Joe Vogel,SEA
46,Marcus Brown,POR
47,Ron Riley,SEA
48,Jamie Feick,PHI
49,Amal McCaskill,ORL
50,Terrell Bell,HOU
51,Chris Robinson,VAN
52,Mark Pope,IND
53,Jeff Nordgaard,MIL
54,Shandon Anderson,UTA
55,Ronnie Henderson,WSB
56,Reggie Geary,CLE
57,Drew Barry,SEA
58,Darnell Robinson,DAL
