pick,player,team
1,Yao Ming,HOU
2,Jay Williams,CHI
3,Mike Dunleavy,GSW
4,Drew Gooden,MEM
5,Nikoloz Tskitishvili,DEN
6,Dajuan Wagner,CLE
7,Nenê,NYK
8,Chris Wilcox,LAC
9,Amar'e Stoudemire,PHO
10,Caron Butler,MIA
11,Jared Jeffries,WAS
12,Melvin Ely,LAC
13,Marcus Haislip,MIL
14,Fred Jones,IND
15,Boštjan Nachbar,HOU
16,Jiří Welsch,PHI
17,Juan Dixon,WAS
18,Curtis Borchardt,ORL
19,Ryan Humphrey,UTA
20,Kareem Rush,TOR
21,Qyntel Woods,POR
22,Casey Jacobsen,PHO
23,Tayshaun Prince,DET
24,Nenad Krstić,NJN
25,Frank Williams,DEN
26,John Salmons,SAS
27,Chris Jefferies,LAL
28,Dan Dickau,SAC
30,Steve Logan,GSW
31,Roger Mason,CHI
32,Robert Archibald,MEM
33,Vincent Yarbrough,DEN
34,Dan Gadzuric,MIL
35,Carlos Boozer,CLE
36,Milos Vujanic,NYK
37,David Andersen,ATL
38,Tito Maddox,HOU
39,Rod Grizzard,WAS
40,Juan Carlos Navarro,WAS
41,Mario Kasun,LAC
42,Ronald Murray,MIL
43,Jason Jennings,POR
44,Lonny Baxter,CHI
45,Sam Clancy,PHI
46,Matt Barnes,MEM
47,Jamal Sampson,UTA
48,Chris Owens,MIL
49,Peter Fehse,SEA
50,Darius Songaila,BOS
51,Federico Kammerichs,POR
52,Marcus Taylor,MIN
53,Rasual Butler,MIA
54,Tamar Slay,NJN
55,Mladen Sekularac,DAL
56,Luis Scola,SAS
57,Randy Holcomb,SAS
58,Corsley Edwards,SAC
