pick,player,team
1,Karl-Anthony Towns,MIN
2,D'Angelo Russell,LAL
3,Jahlil Okafor,PHI
4,Kristaps Porziņģis,NYK
5,Mario Hezonja,ORL
6,Willie Cauley-Stein,SAC
7,Emmanuel Mudiay,DEN
8,Stanley Johnson,DET
9,Frank Kaminsky,CHO
10,Justise Winslow,MIA
11,Myles Turner,IND
12,Trey Lyles,UTA
13,Devin Booker,PHO
14,Cameron Payne,OKC
15,Kelly Oubre Jr.,ATL
16,Terry Rozier,BOS
17,Rashad Vaughn,MIL
18,Sam Dekker,HOU
19,Jerian Grant,WAS
20,Delon Wright,TOR
21,Justin Anderson,DAL
22,Bobby Portis,CHI
23,Rondae Hollis-Jefferson,POR
24,Tyus Jones,CLE
25,Jarell Martin,MEM
26,Nikola Milutinov,SAS
27,Larry Nance Jr.,LAL
28,R.J. Hunter,BOS
29,Chris McCullough,BRK
30,Kevon Looney,GSW
31,Cedi Osman,MIN
32,Montrezl Harrell,HOU
33,Jordan Mickey,BOS
34,Anthony Brown,LAL
35,Willy Hernangómez,PHI
36,Rakeem Christmas,MIN
37,Richaun Holmes,PHI
38,Darrun Hilliard,DET
39,Juan Pablo Vaulet,CHO
40,Josh Richardson,MIA
41,Pat Connaughton,BRK
42,Olivier Hanlan,UTA
43,Joe Young,IND
44,Andrew Harrison,PHO
45,Marcus Thornton,BOS
46,Norman Powell,MIL
47,Artūras Gudaitis,PHI
48,Dakari Johnson,OKC
49,Aaron White,WAS
50,Marcus Eriksson,ATL
51,Tyler Harvey,ORL
52,Satnam Singh,DAL
53,Sir'Dominic Pointer,CLE
54,Dani Díez,UTA
55,Cady Lalanne,SAS
56,Branden Dawson,NOP
57,Nikola Radičević,DEN
58,J.P. Tokoto,PHI
59,Dimitrios Agravanis,ATL
60,Luka Mitrović,PHI
