pick,player,team
1,Blake Griffin,LAC
2,Hasheem Thabeet,MEM
3,James Harden,OKC
4,Tyreke Evans,SAC
5,Ricky Rubio,MIN
6,Jonny Flynn,MIN
7,Stephen Curry,GSW
8,Jordan Hill,NYK
9,DeMar DeRozan,TOR
10,Brandon Jennings,MIL
11,Terrence Williams,NJN
12,Gerald Henderson,CHA
13,Tyler Hansbrough,IND
14,Earl Clark,PHO
15,Austin Daye,DET
16,James Johnson,CHI
17,Jrue Holiday,PHI
18,Ty Lawson,MIN
19,Jeff Teague,ATL
20,Eric Maynor,UTA
21,Darren Collison,NOH
22,Victor Claver,POR
23,Omri Casspi,SAC
24,Byron Mullens,DAL
25,Rodrigue Beaubois,OKC
26,Taj Gibson,CHI
27,DeMarre Carroll,MEM
28,Wayne Ellington,MIN
29,Toney Douglas,LAL
30,Christian Eyenga,CLE
31,Jeff Ayres,SAC
32,Jermaine Taylor,WAS
33,Dante Cunningham,POR
34,Sergio Llull,DEN
35,DaJuan Summers,DET
36,Sam Young,MEM
37,DeJuan Blair,SAS
38,Jon Brockman,POR
39,Jonas Jerebko,DET
40,Derrick Brown,CHA
41,Jodie Meeks,MIL
42,Patrick Beverley,LAL
43,Marcus Thornton,MIA
44,Chase Budinger,DET
45,Nick Calathes,MIN
46,Danny Green,CLE
47,Henk Norel,MIN
48,Taylor Griffin,PHO
49,Sergiy Gladyr,ATL
50,Goran Suton,UTA
51,Jack McClinton,SAS
52,A.J. Price,IND
53,Nando De Colo,SAS
54,Robert Vaden,CHA
55,Patty Mills,POR
56,Ahmad Nivins,DAL
57,Emir Preldžić,PHO
58,Lester Hudson,BOS
59,Chinemelu Elonu,LAL
60,Robert Dozier,MIA
