pick,player,team
1,Derrick Rose,CHI
2,Michael Beasley,MIA
3,O.J. Mayo,MIN
4,Russell Westbrook,SEA
5,Kevin Love,MEM
6,Danilo Gallinari,NYK
7,Eric Gordon,LAC
8,Joe Alexander,MIL
9,D.J. Augustin,CHA
10,Brook Lopez,NJN
11,Jerryd Bayless,IND
12,Jason Thompson,SAC
13,Brandon Rush,POR
14,Anthony Randolph,GSW
15,Robin Lopez,PHO
16,Marreese Speights,PHI
17,Roy Hibbert,TOR
18,JaVale McGee,WAS
19,J.J. Hickson,CLE
20,Alexis Ajinça,CHA
21,Ryan Anderson,NJN
22,Courtney Lee,ORL
23,Kosta Koufos,UTA
24,Serge Ibaka,SEA
25,Nicolas Batum,HOU
26,George Hill,SAS
27,Darrell Arthur,NOH
28,Donté Greene,MEM
29,D.J. White,DET
30,J.R. Giddens,BOS
31,Nikola Peković,MIN
32,Walter Sharpe,SEA
33,Joey Dorsey,POR
34,Mario Chalmers,MIN
35,DeAndre Jordan,LAC
36,Ömer Aşık,POR
37,Luc Mbah a Moute,MIL
38,Kyle Weaver,CHA
39,Sonny Weems,CHI
40,Chris Douglas-Roberts,NJN
41,Nathan Jawai,IND
42,Sean Singletary,SAC
43,Patrick Ewing,SAC
44,Ante Tomić,UTA
45,Goran Dragić,SAS
46,Trent Plaisted,SEA
47,Henry Walker,WAS
48,Malik Hairston,PHO
49,Richard Hendrix,GSW
50,DeVon Hardin,SEA
51,Shan Foster,DAL
52,Darnell Jackson,MIA
53,Tadija Dragićević,UTA
54,Maarty Leunen,HOU
55,Mike Taylor,POR
56,Sasha Kaun,SEA
57,James Gist,SAS
58,Joe Crawford,LAL
59,Deron Washington,DET
60,Semih Erden,BOS
