pick,player,team
1,Ben Simmons,PHI
2,Brandon Ingram,LAL
3,Jaylen Brown,BOS
4,Dragan Bender,PHO
5,Kris Dunn,MIN
6,Buddy Hield,NOP
7,Jamal Murray,DEN
8,Marquese Chriss,SAC
9,Jakob Poeltl,TOR
10,Thon Maker,MIL
11,Domantas Sabonis,ORL
12,Taurean Prince,UTA
13,Georgios Papagiannis,PHO
14,Denzel Valentine,CHI
15,Juancho Hernangómez,DEN
16,Guerschon Yabusele,BOS
17,Wade Baldwin,MEM
18,Henry Ellenson,DET
19,Malik Beasley,DEN
20,Caris LeVert,IND
21,DeAndre' Bembry,ATL
22,Malachi Richardson,CHO
23,Ante Žižić,BOS
24,Timothé Luwawu-Cabarrot,PHI
25,Brice Johnson,LAC
26,Furkan Korkmaz,PHI
27,Pascal Siakam,TOR
28,Skal Labissière,PHO
29,Dejounte Murray,SAS
30,Damian Jones,GSW
31,Deyonta Davis,BOS
32,Ivica Zubac,LAL
33,Cheick Diallo,LAC
34,Tyler Ulis,PHO
35,Rade Zagorac,BOS
36,Malcolm Brogdon,MIL
37,Chinanu Onuaku,HOU
38,Patrick McCaw,MIL
39,David Michineau,NOP
40,Diamond Stone,NOP
41,Stephen Zimmerman,ORL
42,Isaiah Whitehead,UTA
43,Zhou Qi,HOU
44,Isaïa Cordinier,ATL
45,Demetrius Jackson,BOS
46,A.J. Hammons,DAL
47,Jake Layman,ORL
48,Paul Zipser,CHI
49,Michael Gbinije,DET
50,Georges Niang,IND
51,Ben Bentil,BOS
52,Joel Bolomboy,UTA
53,Petr Cornelie,DEN
54,Kay Felder,ATL
55,Marcus Paige,BRK
56,Daniel Hamilton,DEN
57,Wang Zhelin,MEM
58,Abdel Nader,BOS
59,Isaiah Cousins,SAC
60,Tyrone Wallace,UTA
