pick,player,team
1,Paolo Banchero,ORL
2,Chet Holmgren,OKC
3,Jabari Smith Jr.,HOU
4,Keegan Murray,SAC
5,Jaden Ivey,DET
6,Bennedict Mathurin,IND
7,Shaedon Sharpe,POR
8,Dyson Daniels,NOP
9,Jeremy Sochan,SAS
10,Johnny Davis,WAS
11,Ousmane Dieng,NYK
12,Jalen Williams,OKC
13,Jalen Duren,CHO
14,Ochai Agbaji,CLE
15,Mark Williams,CHO
16,AJ Griffin,ATL
17,Tari Eason,HOU
18,Dalen Terry,CHI
19,Jake LaRavia,MIN
20,Malaki Branham,SAS
21,Christian Braun,DEN
22,Walker Kessler,MEM
23,David Roddy,PHI
24,MarJon Beauchamp,MIL
25,Blake Wesley,SAS
26,Wendell Moore Jr.,DAL
27,Nikola Jović,MIA
28,Patrick Baldwin Jr.,GSW
29,TyTy Washington Jr.,MEM
30,Peyton Watson,OKC
31,Andrew Nembhard,IND
32,Caleb Houstan,ORL
33,Christian Koloko,TOR
34,Jaylin Williams,OKC
35,Max Christie,LAL
36,Gabriele Procida,POR
37,Jaden Hardy,SAC
38,Kennedy Chandler,SAS
39,Khalifa Diop,CLE
40,Bryce McGowens,MIN
41,E.J. Liddell,NOP
42,Trevor Keels,NYK
43,Moussa Diabaté,LAC
44,Ryan Rollins,ATL
45,Josh Minott,CHO
46,Ismael Kamagate,DET
47,Vince Williams Jr.,MEM
48,Kendall Brown,MIN
49,Isaiah Mobley,CLE
50,Matteo Spagnolo,MIN
51,Tyrese Martin,GSW
52,Karlo Matković,NOP
53,JD Davison,BOS
54,Yannick Nzosa,WAS
55,Gui Santos,GSW
56,Luke Travers,CLE
57,Jabari Walker,POR
58,Hugo Besson,IND
