pick,player,team
1,Deandre Ayton,PHO
2,Marvin Bagley III,SAC
3,Luka Dončić,ATL
4,Jaren Jackson Jr.,MEM
5,Trae Young,DAL
6,Mo Bamba,ORL
7,Wendell Carter Jr.,CHI
8,Collin Sexton,CLE
9,Kevin Knox,NYK
10,Mikal Bridges,PHI
11,Shai Gilgeous-Alexander,CHO
12,Miles Bridges,LAC
13,Jerome Robinson,LAC
14,Michael Porter Jr.,DEN
15,Troy Brown Jr.,WAS
16,Zhaire Smith,PHO
17,Donte DiVincenzo,MIL
18,Lonnie Walker IV,SAS
19,Kevin Huerter,ATL
20,Josh Okogie,MIN
21,Grayson Allen,UTA
22,Chandler Hutchison,CHI
23,Aaron Holiday,IND
24,Anfernee Simons,POR
25,Moritz Wagner,LAL
26,Landry Shamet,PHI
27,Robert Williams,BOS
28,Jacob Evans,GSW
29,Džanan Musa,BRK
30,Omari Spellman,ATL
31,Elie Okobo,PHO
32,Jevon Carter,MEM
33,Jalen Brunson,DAL
34,Devonte' Graham,ATL
35,Melvin Frazier,ORL
36,Mitchell Robinson,NYK
37,Gary Trent Jr.,SAC
38,Khyri Thomas,PHI
39,Isaac Bonga,PHI
40,Rodions Kurucs,BRK
41,Jarred Vanderbilt,ORL
42,Bruce Brown,DET
43,Justin Jackson,DEN
44,Issuf Sanon,WAS
45,Hamidou Diallo,BRK
46,De'Anthony Melton,HOU
47,Svi Mykhailiuk,LAL
48,Keita Bates-Diop,MIN
49,Chimezie Metu,SAS
50,Alize Johnson,IND
51,Tony Carr,NOP
52,Vince Edwards,UTA
53,Devon Hall,OKC
54,Shake Milton,DAL
55,Arnoldas Kulboka,CHO
56,Ray Spalding,PHI
57,Kevin Hervey,OKC
58,Thomas Welsh,DEN
59,George King,PHO
60,Kostas Antetokounmpo,PHI
