1,Brad Daugherty,CLE
2,Len Bias,BOS
3,Chris Washburn,GSW
4,Chuck Person,IND
5,Kenny Walker,NYK
6,William Bedford,PHO
7,Roy Tarpley,DAL
8,Ron Harper,CLE
9,Brad Sellers,CHI
10,Johnny Dawkins,SAS
11,John Salley,DET
12,John Williams,WSB
13,Pearl Washington,NJN
14,Walter Berry,POR
15,Dell Curry,UTA
16,Maurice Martin,DEN
17,Harold Pressley,SAC
18,Mark Alarie,DEN
19,Billy Thompson,ATL
20,Buck Johnson,HOU
21,Anthony Jones,WSB
22,Scott Skiles,MIL
23,Ken Barlow,LAL
24,Arvydas Sabonis,POR
25,Mark Price,DAL
26,Greg Dreiling,IND
27,Dennis Rodman,DET
28,Larry Krystkowiak,CHI
29,Johnny Newman,CLE
30,Nate McMillan,SEA
31,Joe Ward,PHO
32,Cedric Henderson,ATL
33,Kevin Duckworth,SAS
34,Johnny Rogers,SAC
35,Milt Wagner,DAL
36,Steve Mitchell,WSB
37,Panagiotis Fasoulas,POR
38,Lemone Lampley,SEA
39,Rafael Addison,PHO
40,Augusto Binelli,ATL
41,Otis Smith,DEN
42,Ron Kellogg,ATL
43,Dave Feitl,HOU
44,David Wingate,PHI
45,Keith Smith,MIL
46,Jeff Hornacek,PHO
47,Michael Jackson,NYK
48,Forrest McKenzie,SAS
49,Juden Smith,POR
50,Kevin Henderson,CLE
51,Mike Williams,GSW
52,Ricky Wilson,CHI
53,Tod Murphy,SEA
54,Dwayne Polee,LAC
55,Kenny Gattison,PHO
56,Keith Colbert,PHI
57,Bruce Douglas,SAC
58,Dave Henderson,WSB
59,Wendell Alexis,GSW
60,Dražen Petrović,POR
61,John Shasky,UTA
62,Anthony Welch,DAL
63,Bill Breeding,UTA
64,Don Redden,DEN
65,Dave Hoppen,ATL
66,Anthony Bowie,HOU
67,Ron Rowan,PHI
68,Baskerville Holmes,MIL
69,Andre Turner,LAL
70,Jim Les,ATL
71,Calvin Thompson,NYK
72,Derrick Taylor,IND
73,Warren Martin,CLE
74,Scott Meents,CHI
75,Dan Bingenheimer,GSW
76,Michael Graham,SEA
77,Grant Gondrezick,PHO
78,John Brownlee,LAC
79,Carlos Briggs,SAS
80,Alvin Franklin,SAC
81,Steve Hale,NJN
82,Barry Mungar,WSB
83,David Shaffer,POR
84,Marty Embry,UTA
85,Myron Jackson,DAL
86,Chauncey Robinson,DET
87,Anthony Watson,DEN
88,Efrem Winters,ATL
89,Conner Henry,HOU
90,Wes Stallings,PHI
91,Bob Beecher,SAC
92,Dale Blaney,LAL
93,Tony Benford,BOS
94,Jerome Mincey,NYK
95,Richard Rellford,IND
96,Ben Davis,CLE
97,Clinton Smith,GSW
98,Jimmy Gilbert,CHI
99,Dominic Pressley,SEA
100,Steffond Johnson,LAC
101,Greg Spurling,PHO
102,Earl Kelley,SAS
103,Keith Morrison,SAC
104,Paul Fortier,WSB
105,Archie Johnson,NJN
106,Jerry Adams,POR
107,Kerry Boagni,UTA
108,Jay Bilas,DAL
109,Clarence Hanley,DET
110,Jon Collins,DEN
111,Nicky Jones,ATL
112,Andre Banks,HOU
113,Kevin Holmes,PHI
114,Bobby Deaton,MIL
115,Roger Harden,LAL
116,Dave Colbert,BOS
117,Butch Wade,NYK
118,Jeff Hall,IND
119,Gilbert Wilburn,CLE
120,Pete Myers,CHI
121,Bobby Lee Hurt,GSW
122,Curtis Kitchen,SEA
123,Jim McCaffrey,PHO
124,Tim Kempton,LAC
125,Kevin Lewis,SAS
126,John Flowers,SAC
127,Troy Webster,NJN
128,Lorenzo Duncan,WSB
129,Tony Hampton,POR
130,Chuck Everson,UTA
131,Greg Anderson,DAL
132,Greg Grant,DET
133,Anthony Frederick,DEN
134,Alexander Volkov,ATL
135,Robert Worthy,HOU
136,Andre McCloud,PHI
137,John Kimbrell,MIL
138,Walter Downing,LAL
139,Greg Wendt,BOS
140,Duane Kendall,NYK
141,Steve Woodside,IND
142,Ralph Dalton,CLE
143,Steve Kenilvort,GSW
144,Robert Henderson,CHI
145,Glen McCants,SEA
146,Johnny Brown,LAC
147,Damon Goodwin,PHO
148,Michael Anderson,SAS
149,Ron Rankin,SAC
150,Joe Price,WSB
151,Jim Dolan,NJN
152,Randy Schiff,POR
153,Mark Mitchell,UTA
154,Kim Cooksey,DAL
155,Larry Polec,DET
156,Mike Marshall,DEN
157,Valeri Tikhonenko,ATL
158,Rick Olson,HOU
159,Dan Palombizio,PHI
160,Jeff Strong,MIL
161,Mark Coleman,LAL
162,Tom Ivey,BOS
