pick,player,team
1,Hakeem Olajuwon,HOU
2,Sam Bowie,POR
3,Michael Jordan,CHI
4,Sam Perkins,DAL
5,Charles Barkley,PHI
6,Melvin Turpin,WSB
7,Alvin Robertson,SAS
8,Lancaster Gordon,LAC
9,Otis Thorpe,KCK
10,Leon Wood,PHI
11,Kevin Willis,ATL
12,Tim McCormick,CLE
13,Jay Humphries,PHO
14,Michael Cage,LAC
15,Terence Stansbury,DAL
16,John Stockton,UTA
17,Jeff Turner,NJN
18,Vern Fleming,IND
19,Bernard Thompson,POR
20,Tony Campbell,DET
21,Kenny Fields,MIL
22,Tom Sewell,PHI
23,Earl Jones,LAL
24,Michael Young,BOS
25,Devin Durrant,IND
26,Victor Fleming,POR
27,Ron Anderson,CLE
28,Cory Blackwell,SEA
29,Stuart Gray,IND
30,Steve Burtt,GSW
31,Jay Murphy,GSW
32,Eric Turner,DET
33,Steve Colter,POR
34,Tony Costner,WSB
35,Othell Wilson,GSW
36,Charles Jones,PHO
37,Ben Coleman,CHI
38,Charlie Sitton,DAL
39,Danny Young,SEA
40,Anthony Teachey,DAL
41,Tom Sluby,DAL
42,Willie White,DEN
43,Greg Wiltjer,CHI
44,Fred Reynolds,WSB
45,Gary Plummer,GSW
46,Jerome Kersey,POR
47,Ronnie Williams,BOS
48,James Banks,PHI
49,Tim Dillon,CHI
50,Ben McDonald,CLE
51,Jim Petersen,HOU
52,Terry Williams,SEA
53,Ricky Ross,WSB
54,Roosevelt Chapman,KCK
55,Lewis Jackson,GSW
56,Jeff Allen,KCK
57,Joe Binion,SAS
58,Bobby Parks,ATL
59,Murray Jarman,PHO
60,Leonard Mitchell,CLE
61,Jeff Cross,DAL
62,David Pope,UTA
63,Yommy Sangodeyi,NJN
64,Curtis Green,NYK
65,Tim Kearney,POR
66,Kevin Springman,DET
67,Vernon Delancy,MIL
68,Butch Graves,PHI
69,George Singleton,LAL
70,Rick Carlisle,BOS
71,Ralph Jackson,IND
72,Melvin Johnson,CHI
73,Art Aaron,CLE
74,Willie Jackson,HOU
75,Marc Glass,LAC
76,Jim Grandholm,WSB
77,Mark Halsel,CHI
78,John Devereaux,SAS
79,Karl Tilleman,DEN
80,Carl Henry,KCK
81,Dicky Beal,ATL
82,Jeff Collins,PHO
83,Jeff Jenkins,SEA
84,John Horrocks,DAL
85,Hank Cornley,NJN
