pick,player,team
1,Joe Smith,GSW
2,Antonio McDyess,LAC
3,Jerry Stackhouse,PHI
4,Rasheed Wallace,WSB
5,Kevin Garnett,MIN
6,Bryant Reeves,VAN
7,Damon Stoudamire,TOR
8,Shawn Respert,POR
9,Ed O'Bannon,NJN
10,Kurt Thomas,MIA
11,Gary Trent,MIL
12,Cherokee Parks,DAL
13,Corliss Williamson,SAC
14,Eric Williams,BOS
15,Brent Barry,DEN
16,Alan Henderson,ATL
17,Bob Sura,CLE
18,Theo Ratliff,DET
19,Randolph Childress,DET
20,Jason Caffey,CHI
21,Michael Finley,PHO
22,George Zídek,CHH
23,Travis Best,IND
24,Loren Meyer,DAL
25,David Vaughn,ORL
26,Sherell Ford,SEA
27,Mario Bennett,PHO
28,Greg Ostertag,UTA
29,Cory Alexander,SAS
30,Lou Roe,DET
31,Dragan Tarlać,CHI
32,Terrence Rencher,WSB
33,Junior Burrough,BOS
34,Andrew DeClercq,GSW
35,Jimmy King,TOR
36,Lawrence Moten,VAN
37,Frankie King,LAL
38,Rashard Griffith,MIL
39,Donny Marshall,CLE
40,Dwayne Whitfield,GSW
41,Erik Meek,HOU
42,Donnie Boyce,ATL
43,Eric Snow,MIL
44,Anthony Pelle,DEN
45,Troy Brown,ATL
46,George Banks,MIA
47,Tyus Edney,SAC
48,Mark Davis,MIN
49,Jerome Allen,MIN
50,Martin Lewis,GSW
51,Dejan Bodiroga,SAC
52,Fred Hoiberg,IND
53,Constantin Popa,LAC
54,Eurelijus Žukauskas,SEA
55,Michael McDonald,GSW
56,Chris Carr,PHO
57,Cuonzo Martin,ATL
58,Don Reid,DET
