199,Brian Jung,BOS
200,Tim Higgins,GSW
201,Leroy Coleman,UTA
202,Earl Sango,DEN
203,Billy Foster,CHI
204,John Bates,IND
205,Dave Kufeld,POR
206,Tom Morgan,DAL
207,Don Youman,WSB
208,Gerard Ross,NYK
209,Steve Schall,SAS
210,Melvin Crayton,MIL
211,Randy Carroll,PHO
212,Kent Williams,SEA
213,Joe Hand,PHI
214,John Nolan,BOS
-,Forfeited,DET
-,Forfeited,NJN
-,Forfeited,HOU
-,Forfeited,KCK
-,Forfeited,ATL
