pick,player,team
1,John Lucas,HOU
2,Scott May,CHI
3,Richard Washington,KCK
4,Leon Douglas,DET
5,Wally Walker,POR
6,Adrian Dantley,BUF
7,Quinn Buckner,MIL
8,Robert Parish,GSW
9,Armond Hill,ATL
10,Ron Lee,PHO
11,Bob Wilkerson,SEA
12,Terry Furlow,PHI
13,Mitch Kupchak,WSB
14,Larry Wright,WSB
15,Chuckie Williams,CLE
16,Norm Cook,BOS
17,Sonny Parker,GSW
18,Willie Smith,CHI
19,Bayard Forrest,SEA
20,Major Jones,POR
21,Earl Tatum,LAL
22,Johnny Davis,POR
23,Alex English,MIL
24,Scott Lloyd,MIL
25,Lonnie Shelton,NYK
26,Jacky Dorsey,NOJ
27,Phil Hicks,HOU
28,Bob Carrington,ATL
29,Dennis Johnson,SEA
30,Al Fleming,PHO
31,Joe Pace,WSB
32,Mo Howard,CLE
33,Butch Feher,PHO
34,Marshall Rogers,GSW
35,Dallas Smith,CHI
36,Mike Dabney,LAL
37,Lars Hansen,CHI
38,Phil Sellers,DET
39,Jeff Tyson,POR
40,Lloyd Walton,MIL
41,John McGill,NYK
42,Steve Copp,NOJ
43,Tom Abernethy,LAL
44,Barnes Hauptfuhrer,HOU
45,Ira Terrell,PHO
46,Larry Cooke,ATL
47,Ron Norwood,PHI
48,Gary Brewster,BUF
49,Bill Cook,WSB
50,Abdul Jeelani,CLE
51,Jerry Fort,BOS
52,Keith Starr,CHI
53,Tom Barker,ATL
54,Clarence Ramsey,KCK
55,Scott Thompson,DET
56,David Everett,POR
57,Rick Bullock,NYK
58,John Service,NOJ
59,Dan Frost,MIL
60,Wayman Britt,LAL
61,Hercle Ivy,HOU
62,Paul Miller,PHO
63,Willie Parr,SEA
64,Freeman Blade,PHI
65,Marion Hillard,WSB
66,John Engles,CLE
67,Lewis Linder,BOS
68,Jeff Fosnes,GSW
69,Nate Williams,CHI
70,Ron Davis,ATL
71,Willie Hodge,KCK
72,Jim Hearns,DET
73,Gary Redding,POR
74,Paul Griffin,NOJ
75,Tom Lockhart,MIL
76,Beaver Smith,NYK
77,James Rappis,MIL
78,Dave Marrs,HOU
79,Ralph Walker,PHO
80,Robert Gray,SEA
81,Jeff Brown,PHI
82,Connie White,ATL
83,L.C. Mason,WSB
84,Edmund Lawrence,CLE
85,Lewis McKinney,BOS
86,Carl Bird,GSW
87,Tom Paulin,CHI
88,Pete Padgett,ATL
89,Andre McCarter,KCK
90,Russell Davis,DET
91,Dwayne Barnett,GSW
92,Phil Spence,MIL
93,Joe Jones,NYK
94,Bernard Tomlin,NOJ
95,Ed Schweitzer,LAL
96,Robert Paige,HOU
97,Carl Brown,PHO
98,Daryl Peterson,SEA
99,Mike Dunleavy,PHI
100,Danny Odums,BUF
101,Pat Tallent,WSB
102,Harry Davis,CLE
103,Art Collins,BOS
104,Gene Cunningham,GSW
105,Barry McLeod,CHI
106,Carl Gerlach,ATL
107,Craig Prosser,KCK
108,Curt Peterson,DET
109,Al DeWitt,POR
110,Boyd Batts,NYK
111,Andy Walker,NOJ
112,Ron Barrow,MIL
113,Tommie Lipsey,LAL
114,Barry Davis,HOU
115,Brad Warble,PHO
116,Mark Klein,SEA
117,Phil Walker,PHI
118,Frank Jones,BUF
119,Ralph Vallot,WSB
120,Johnny Britt,CLE
121,Ralph Drollinger,BOS
122,Jesse Campbell,GSW
123,Dale Koehler,CLE
124,Doug Terry,ATL
125,Mike Davis,KCK
126,Randy Henry,DET
127,Brant Gibler,POR
128,Richard Bryant,NOJ
129,Bob Warner,MIL
130,Rick McCutcheon,NYK
131,Ed Gregg,LAL
132,Dan Krueger,HOU
133,Tom DeBerry,PHO
134,Norton Barnhill,SEA
135,Lee Dixon,PHI
136,Mark McAndrew,BUF
137,Merlin Wilson,WSB
138,Tim Sisneros,CLE
139,John Clark,BOS
140,Stan Boskovich,GSW
141,John Thomas,CHI
142,Bob Kovach,ATL
143,Dave Logan,KCK
144,Bill Martin,DET
145,Rob Torresdal,POR
146,Bennie Shaw,MIL
147,Archie Talley,NYK
148,Calvin Robinson,NOJ
149,David Pickett,LAL
150,John Irving,PHO
151,Ron Johnson,SEA
152,Fly Williams,PHI
153,Bob Rozyczko,BUF
154,Clyde Agnew,WSB
155,Bruce Parkinson,CLE
156,Bill Collins,BOS
157,Howard Smith,GSW
158,John Hudson,CHI
159,Mike Dickerson,ATL
160,Terry Bailey,KCK
161,Bob Johnson,DET
162,Marcos Leite,POR
163,Gene Shy,NYK
164,Art Johnson,NOJ
165,Hugo Cabrera,MIL
166,Gary Jackson,PHO
167,Ricky Lewis,SEA
168,Ed Stefanski,PHI
169,Tim Stokes,BUF
170,Mike Buescher,WSB
171,Elisha McSweeney,CLE
172,Otho Tucker,BOS
173,Ken Smith,GSW
