pick,player,team
1,Anthony Edwards,MIN
2,James Wiseman,GSW
3,LaMelo Ball,CHO
4,Patrick Williams,CHI
5,Isaac Okoro,CLE
6,Onyeka Okongwu,ATL
7,Killian Hayes,DET
8,Obi Toppin,NYK
9,Deni Avdija,WAS
10,Jalen Smith,PHO
11,Devin Vassell,SAS
12,Tyrese Haliburton,SAC
13,Kira Lewis Jr.,NOP
14,Aaron Nesmith,BOS
15,Cole Anthony,ORL
16,Isaiah Stewart,POR
17,Aleksej Pokusevski,MIN
18,Josh Green,DAL
19,Saddiq Bey,BRK
20,Precious Achiuwa,MIA
21,Tyrese Maxey,PHI
22,Zeke Nnaji,DEN
23,Leandro Bolmaro,NYK
24,R.J. Hampton,MIL
25,Immanuel Quickley,OKC
26,Payton Pritchard,BOS
27,Udoka Azubuike,UTA
28,Jaden McDaniels,LAL
29,Malachi Flynn,TOR
30,Desmond Bane,BOS
31,Tyrell Terry,DAL
32,Vernon Carey Jr.,CHO
33,Daniel Oturu,MIN
34,Théo Maledon,PHI
35,Xavier Tillman Sr.,SAC
36,Tyler Bey,PHI
37,Vit Krejci,WAS
38,Saben Lee,UTA
39,Elijah Hughes,NOP
40,Robert Woodard II,MEM
41,Tre Jones,SAS
42,Nick Richards,NOP
43,Jahmi'us Ramsey,SAC
44,Marko Simonovic,CHI
45,Jordan Nwora,MIL
46,CJ Elleby,POR
47,Yam Madar,BOS
48,Nico Mannion,GSW
49,Isaiah Joe,PHI
50,Skylar Mays,ATL
51,Justinian Jessup,GSW
52,KJ Martin,SAC
53,Cassius Winston,OKC
54,Cassius Stanley,IND
55,Jay Scrubb,BRK
56,Grant Riller,CHO
57,Reggie Perry,LAC
58,Paul Reed,PHI
59,Jalen Harris,TOR
60,Sam Merrill,NOP
