pick,player,team
1,Andrea Bargnani,TOR
2,LaMarcus Aldridge,CHI
3,Adam Morrison,CHA
4,Tyrus Thomas,POR
5,Shelden Williams,ATL
6,Brandon Roy,MIN
7,Randy Foye,BOS
8,Rudy Gay,HOU
9,Patrick O'Bryant,GSW
10,Mouhamed Sene,SEA
11,JJ Redick,ORL
12,Hilton Armstrong,NOK
13,Thabo Sefolosha,PHI
14,Ronnie Brewer,UTA
15,Cedric Simmons,NOK
16,Rodney Carney,CHI
17,Shawne Williams,IND
18,Oleksiy Pecherov,WAS
19,Quincy Douby,SAC
20,Renaldo Balkman,NYK
21,Rajon Rondo,PHO
22,Marcus Williams,NJN
23,Josh Boone,NJN
24,Kyle Lowry,MEM
25,Shannon Brown,CLE
26,Jordan Farmar,LAL
27,Sergio Rodríguez,PHO
28,Maurice Ager,DAL
29,Mardy Collins,NYK
30,Joel Freeland,POR
31,James White,POR
32,Steve Novak,HOU
33,Solomon Jones,ATL
34,Paul Davis,LAC
35,P.J. Tucker,TOR
36,Craig Smith,MIN
37,Bobby Jones,MIN
38,Kosta Perović,GSW
39,David Noel,MIL
40,Denham Brown,SEA
41,James Augustine,ORL
42,Daniel Gibson,CLE
43,Marcus Vinicius,NOK
44,Lior Eliyahu,ORL
45,Alexander Johnson,IND
46,Dee Brown,UTA
47,Paul Millsap,UTA
48,Vladimir Veremeenko,WAS
49,Leon Powe,DEN
50,Ryan Hollins,CHA
51,Cheikh Samb,LAL
52,Guillermo Díaz,LAC
53,Yotam Halperin,SEA
54,Hassan Adams,NJN
55,Ejike Ugboaja,CLE
56,Edin Bavčić,TOR
57,Loukas Mavrokefalidis,MIN
58,J.R. Pinnock,DAL
59,Damir Markota,SAS
60,Will Blalock,DET
