pick,player,team
1,Chris Webber,ORL
2,Shawn Bradley,PHI
3,Anfernee Hardaway,GSW
4,Jamal Mashburn,DAL
5,Isaiah Rider,MIN
6,Calbert Cheaney,WSB
7,Bobby Hurley,SAC
8,Vin Baker,MIL
9,Rodney Rogers,DEN
10,Lindsey Hunter,DET
11,Allan Houston,DET
12,George Lynch,LAL
13,Terry Dehere,LAC
14,Scott Haskin,IND
15,Doug Edwards,ATL
16,Rex Walters,NJN
17,Greg Graham,CHH
18,Luther Wright,UTA
19,Acie Earl,BOS
20,Scott Burrell,CHH
21,James Robinson,POR
22,Chris Mills,CLE
23,Ervin Johnson,SEA
24,Sam Cassell,HOU
25,Corie Blount,CHI
26,Geert Hammink,ORL
27,Malcolm Mackey,PHO
28,Lucious Harris,DAL
29,Sherron Mills,MIN
30,Gheorghe Mureșan,WSB
31,Evers Burns,SAC
32,Alphonso Ford,PHI
33,Eric Riley,DAL
34,Darnell Mee,GSW
35,Ed Stokes,MIA
36,John Best,NJN
37,Nick Van Exel,LAL
38,Conrad McRae,WSB
39,Thomas Hill,IND
40,Rich Manning,ATL
41,Anthony Reed,CHI
42,Adonis Jordan,SEA
43,Josh Grant,DEN
44,Alex Holcombe,SAC
45,Bryon Russell,UTA
46,Richard Petruška,HOU
47,Chris Whitney,SAS
48,Kevin Thompson,POR
49,Mark Buford,PHO
50,Marcelo Nicola,HOU
51,Spencer Dunkley,IND
52,Mike Peplowski,SAC
53,Leonard White,LAC
54,Byron Wilson,PHO
