pick,player,team
1,Dwight Howard,ORL
2,Emeka Okafor,CHA
3,Ben Gordon,CHI
4,Shaun Livingston,LAC
5,Devin Harris,WAS
6,Josh Childress,ATL
7,Luol Deng,PHO
8,Rafael Araújo,TOR
9,Andre Iguodala,PHI
10,Luke Jackson,CLE
11,Andris Biedriņš,GSW
12,Robert Swift,SEA
13,Sebastian Telfair,POR
14,Kris Humphries,UTA
15,Al Jefferson,BOS
16,Kirk Snyder,UTA
17,Josh Smith,ATL
18,J.R. Smith,NOH
19,Dorell Wright,MIA
20,Jameer Nelson,DEN
21,Pavel Podkolzin,UTA
22,Viktor Khryapa,NJN
23,Sergei Monia,POR
24,Delonte West,BOS
25,Tony Allen,BOS
26,Kevin Martin,SAC
27,Sasha Vujačić,LAL
28,Beno Udrih,SAS
29,David Harrison,IND
30,Anderson Varejão,ORL
31,Jackson Vroman,CHI
32,Peter John Ramos,WAS
33,Lionel Chalmers,LAC
34,Donta Smith,ATL
35,Andre Emmett,SEA
36,Antonio Burks,ORL
37,Royal Ivey,ATL
38,Chris Duhon,CHI
39,Albert Miralles,TOR
40,Justin Reed,BOS
41,David Young,SEA
42,Viktor Sanikidze,ATL
43,Trevor Ariza,NYK
44,Tim Pickett,NOH
45,Bernard Robinson,CHA
46,Ha Seung-Jin,POR
47,Pape Sow,MIA
48,Ricky Minard,SAC
49,Sergei Lishouk,MEM
50,Vassilis Spanoulis,DAL
51,Christian Drejer,NJN
52,Romain Sato,SAS
53,Matt Freije,MIA
54,Rickey Paulding,DET
55,Luis Flores,HOU
56,Marcus Douthit,LAL
57,Sergei Karaulov,SAS
58,Blake Stepp,MIN
59,Rashad Wright,IND
