pick,player,team
1,Tim Duncan,SAS
2,Keith Van Horn,PHI
3,Chauncey Billups,BOS
4,Antonio Daniels,VAN
5,Tony Battie,DEN
6,Ron Mercer,BOS
7,Tim Thomas,NJN
8,Adonal Foyle,GSW
9,Tracy McGrady,TOR
10,Danny Fortson,MIL
11,Tariq Abdul-Wahad,SAC
12,Austin Croshere,IND
13,Derek Anderson,CLE
14,Maurice Taylor,LAC
15,Kelvin Cato,DAL
16,Brevin Knight,CLE
17,Johnny Taylor,ORL
18,Chris Anstey,POR
19,Scot Pollard,DET
20,Paul Grant,MIN
21,Anthony Parker,NJN
22,Ed Gray,ATL
23,Bobby Jackson,SEA
24,Rodrick Rhodes,HOU
25,John Thomas,NYK
26,Charles Smith,MIA
27,Jacque Vaughn,UTA
28,Keith Booth,CHI
30,Serge Zwikker,HOU
31,Mark Sanford,MIA
32,Charles O'Bannon,DET
33,James Cotton,DEN
34,Marko Milič,PHI
35,Bubba Wells,DAL
36,Kebu Stewart,PHI
37,James Collins,PHI
38,Marc Jackson,GSW
39,Jerald Honeycutt,MIL
40,Anthony Johnson,SAC
41,Eddie Elisma,SEA
42,Jason Lawson,DEN
43,Stephen Jackson,PHO
44,Gordon Malone,MIN
45,Cedric Henderson,CLE
46,God Shammgod,WAS
47,Eric Washington,ORL
48,Alvin Williams,POR
49,Predrag Drobnjak,WAS
50,Alain Digbeu,ATL
51,Chris Crawford,ATL
52,DeJuan Wheat,LAL
53,C.J. Bruton,VAN
54,Paul Rogers,LAL
55,Mark Blount,SEA
56,Ben Pepper,BOS
57,Nate Erdmann,UTA
58,Roberto Duenas,CHI
