pick,player,team
1,Kwame Brown,WAS
2,Tyson Chandler,LAC
3,Pau Gasol,ATL
4,Eddy Curry,CHI
5,Jason Richardson,GSW
6,Shane Battier,MEM
7,Eddie Griffin,NJN
8,DeSagana Diop,CLE
9,Rodney White,DET
10,Joe Johnson,BOS
11,Kedrick Brown,BOS
12,Vladimir Radmanović,SEA
13,Richard Jefferson,HOU
14,Troy Murphy,GSW
15,Steven Hunter,ORL
16,Kirk Haston,CHH
17,Michael Bradley,TOR
18,Jason Collins,HOU
19,Zach Randolph,POR
20,Brendan Haywood,CLE
21,Joseph Forte,BOS
22,Jeryl Sasser,ORL
23,Brandon Armstrong,HOU
24,Raül López,UTA
25,Gerald Wallace,SAC
26,Samuel Dalembert,PHI
27,Jamaal Tinsley,MEM
28,Tony Parker,SAS
30,Trenton Hassell,CHI
31,Gilbert Arenas,GSW
32,Omar Cook,ORL
33,Will Solomon,MEM
34,Terence Morris,ATL
35,Brian Scalabrine,NJN
36,Jeff Trepagnier,CLE
37,Damone Brown,PHI
38,Mehmet Okur,DET
39,Michael Wright,NYK
40,Earl Watson,SEA
41,Jamison Brewer,IND
42,Bobby Simmons,SEA
43,Eric Chenowith,NYK
44,Kyle Hill,DAL
45,Sean Lampley,CHI
46,Loren Woods,MIN
47,Ousmane Cisse,DEN
48,Antonis Fotsis,MEM
49,Ken Johnson,MIA
50,Ruben Boumtje-Boumtje,POR
51,Alton Ford,PHO
52,Andre Hutson,MIL
53,Jarron Collins,UTA
54,Kenny Satterfield,DAL
55,Maurice Jeffers,SAC
56,Robertas Javtokas,SAS
57,Alvin Jones,PHI
58,Bryan Bracey,SAS
