pick,player,team
1,Elton Brand,CHI
2,Steve Francis,VAN
3,Baron Davis,CHH
4,Lamar Odom,LAC
5,Jonathan Bender,TOR
6,Wally Szczerbiak,MIN
7,Richard Hamilton,WAS
8,Andre Miller,CLE
9,Shawn Marion,PHO
10,Jason Terry,ATL
11,Trajan Langdon,CLE
12,Aleksandar Radojević,TOR
13,Corey Maggette,SEA
14,William Avery,MIN
15,Frédéric Weis,NYK
16,Metta World Peace,CHI
17,Cal Bowdler,ATL
18,James Posey,DEN
19,Quincy Lewis,UTA
20,Dion Glover,ATL
21,Jeff Foster,GSW
22,Kenny Thomas,HOU
23,Devean George,LAL
24,Andrei Kirilenko,UTA
25,Tim James,MIA
26,Vonteego Cummings,IND
27,Jumaine Jones,ATL
28,Scott Padgett,UTA
29,Leon Smith,SAS
30,John Celestand,LAL
31,Rico Hill,LAC
32,Michael Ruffin,CHI
33,Chris Herren,DEN
34,Evan Eschmeyer,NJN
35,Calvin Booth,WAS
36,Wang Zhizhi,DAL
37,Obinna Ekezie,VAN
38,Laron Profit,ORL
39,A.J. Bramlett,CLE
40,Gordan Giriček,DAL
41,Francisco Elson,DEN
42,Louis Bullock,MIN
43,Lee Nailon,CHH
44,Tyrone Washington,HOU
45,Ryan Robertson,SAC
46,J.R. Koch,NYK
47,Todd MacCulloch,PHI
48,Galen Young,MIL
49,Lari Ketner,CHI
50,Venson Hamilton,HOU
51,Antwain Smith,VAN
52,Roberto Bergersen,POR
53,Rodney Buford,MIA
54,Melvin Levett,DET
55,Kris Clack,BOS
56,Tim Young,GSW
57,Manu Ginóbili,SAS
58,Eddie Lucas,UTA
