pick,player,team
1,Cooper Flagg,DAL
2,Dylan Harper,SAS
3,VJ Edgecombe,PHI
4,Kon Knueppel,CHO
5,Ace Bailey,UTA
6,Tre Johnson,WAS
7,Jeremiah Fears,NOP
8,Egor Demin,BRK
9,Collin Murray-Boyles,TOR
10,Khaman Maluach,HOU
11,Cedric Coward,POR
12,Noa Essengue,CHI
13,Derik Queen,ATL
14,Carter Bryant,SAS
15,Thomas Sorber,OKC
16,Yang Hansen,MEM
17,Joan Beringer,MIN
18,Walter Clayton,WAS
19,Nolan Traoré,BRK
20,Kasparas Jakucionis,MIA
21,Will Riley,UTA
22,Drake Powell,ATL
23,Asa Newell,IND
24,Nique Clifford,OKC
25,Jase Richardson,ORL
26,Ben Saraf,BRK
27,Danny Wolf,BRK
28,Hugo González,BOS
29,Liam McNeeley,PHO
30,Yanic Konan Niederhauser,LAC
31,Rasheer Fleming,MIN
32,Noah Penda,BOS
33,Sion James,CHO
34,Ryan Kalkbrenner,CHO
35,Johni Broome,PHI
36,Adou Thiero,BRK
37,Chaz Lanier,DET
38,Kam Jones,SAS
39,Alijah Martin,TOR
40,Micah Peavy,WAS
41,Koby Brea,GSW
42,Maxime Raynaud,SAC
43,Jamir Watkins,UTA
44,Brooks Barnhizer,OKC
45,Rocco Zikarsky,CHI
46,Amari Williams,ORL
47,Bogoljub Markovic,MIL
48,Javon Small,MEM
49,Tyrese Proctor,CLE
50,Kobe Sanders,NYK
51,Mohamed Diawara,LAC
52,Alex Toohey,PHO
53,John Tonje,UTA
54,Taelon Peter,IND
55,Lachlan Olbrich,LAL
56,Will Richard,MEM
57,Max Shulga,ORL
58,Saliou Niang,CLE
59,Jahmai Mashack,HOU
60,,NYK
