pick,player,team
1,Anthony Davis,NOH
2,Michael Kidd-Gilchrist,CHA
3,Bradley Beal,WAS
4,Dion Waiters,CLE
5,Thomas Robinson,SAC
6,Damian Lillard,POR
7,Harrison Barnes,GSW
8,Terrence Ross,TOR
9,Andre Drummond,DET
10,Austin Rivers,NOH
11,Meyers Leonard,POR
12,Jeremy Lamb,HOU
13,Kendall Marshall,PHO
14,John Henson,MIL
15,Maurice Harkless,PHI
16,Royce White,HOU
17,Tyler Zeller,DAL
18,Terrence Jones,HOU
19,Andrew Nicholson,ORL
20,Evan Fournier,DEN
21,Jared Sullinger,BOS
22,Fab Melo,BOS
23,John Jenkins,ATL
24,Jared Cunningham,CLE
25,Tony Wroten,MEM
26,Miles Plumlee,IND
27,Arnett Moultrie,MIA
28,Perry Jones,OKC
29,Marquis Teague,CHI
30,Festus Ezeli,GSW
31,Jeff Taylor,CHA
32,Tomáš Satoranský,WAS
33,Bernard James,CLE
34,Jae Crowder,CLE
35,Draymond Green,GSW
36,Orlando Johnson,SAC
37,Quincy Acy,TOR
38,Quincy Miller,DEN
39,Khris Middleton,DET
40,Will Barton,POR
41,Tyshawn Taylor,POR
42,Doron Lamb,MIL
43,Mike Scott,ATL
44,Kim English,DET
45,Justin Hamilton,PHI
46,Darius Miller,NOH
47,Kevin Murphy,UTA
48,Kostas Papanikolaou,NYK
49,Kyle O'Quinn,ORL
50,İzzet Türkyılmaz,DEN
51,Kris Joseph,BOS
52,Ognjen Kuzmić,GSW
53,Furkan Aldemir,LAC
54,Tornike Shengelia,PHI
55,Darius Johnson-Odom,DAL
56,Tomislav Zubčić,TOR
57,İlkan Karaman,NJN
58,Robbie Hummel,MIN
59,Marcus Denmon,SAS
60,Robert Sacre,LAL
