pick,player,team
1,Pervis Ellison,SAC
2,Danny Ferry,LAC
3,Sean Elliott,SAS
4,Glen Rice,MIA
5,J.R. Reid,CHH
6,Stacey King,CHI
7,George McCloud,IND
8,Randy White,DAL
9,Tom Hammonds,WSB
10,Pooh Richardson,MIN
11,Nick Anderson,ORL
12,Mookie Blaylock,NJN
13,Michael Smith,BOS
14,Tim Hardaway,GSW
15,Todd Lichti,DEN
16,Dana Barros,SEA
17,Shawn Kemp,SEA
18,B.J. Armstrong,CHI
19,Kenny Payne,PHI
20,Jeff Sanders,CHI
21,Blue Edwards,UTA
22,Byron Irvin,POR
23,Roy Marble,ATL
24,Anthony Cook,PHO
25,John Morton,CLE
26,Vlade Divac,LAL
27,Kenny Battle,DET
28,Sherman Douglas,MIA
29,Dyron Nix,CHH
30,Frank Kornet,MIL
31,Jeff Martin,LAC
32,Stanley Brundy,NJN
33,Jay Edwards,LAC
34,Gary Leonard,MIN
35,Pat Durham,DAL
36,Clifford Robinson,POR
37,Michael Ansley,ORL
38,Doug West,MIN
39,Ed Horton,WSB
40,Dino Radja,BOS
41,Doug Roth,WSB
42,Michael Cutright,DEN
43,Chucky Brown,CLE
44,Reggie Cross,PHI
45,Scott Haffner,MIA
46,Ricky Blanton,PHO
47,Reggie Turner,DEN
48,Junie Lewis,UTA
49,Haywoode Workman,ATL
50,Brian Quinnett,NYK
51,Mike Morrison,PHO
52,Greg Grant,PHO
53,Jeff Hodge,DAL
54,Toney Mack,PHI
